case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
5,DG_k5_t2,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,C,6,0.2599910999997519
6,Cplus3F,16,16,16,11958.974,680,16,1,27,6541.638580718053,7818.973755238432,3959.6385807180545,3859.33517452038,3400.0,660.0,80.0,0,0,B,0,0,,,0.9618001999915577
6,C3FDirect,16,16,16,8042.557,394,16,1,29,5958.408724307995,5608.556927815889,3732.408724307995,1876.1482035078948,1970.0,384.0,80.0,0,0,C,165,74,,,0.18244840000988916
6,DG_k1_t0,16,16,16,12220.969,700,16,1,27,6803.633764698492,7960.968939218871,4101.633764698493,3859.33517452038,3500.0,680.0,80.0,0,0,B,0,0,B,0,0.9752259000088088
6,DG_k2_t0,16,16,16,12471.996,720,16,1,27,7054.660590626997,8091.995765147376,4232.660590626998,3859.33517452038,3600.0,700.0,80.0,0,0,B,0,0,B,0,0.9691335999814328
6,DG_k3_t0,16,16,16,8042.557,394,16,1,29,5958.408724307995,5608.556927815889,3732.408724307995,1876.1482035078948,1970.0,384.0,80.0,0,0,C,165,74,C,1,0.27514400001382455
6,DG_k3_t1,16,16,16,12886.407,722,16,1,27,7447.332190092144,8494.407086165236,4511.332190092145,3983.074896073089,3610.0,702.0,80.0,0,0,B,0,0,B,1,0.7594973999948706
6,DG_k5_t2,16,16,16,8042.557,394,16,1,29,5958.408724307995,5608.556927815889,3732.408724307995,1876.1482035078948,1970.0,384.0,80.0,0,0,C,165,74,C,6,0.2571637000073679
7,Cplus3F,16,16,16,8789.455,426,16,1,27,5423.5100178449975,6174.455256874949,3428.510017844999,2745.945239029951,2130.0,405.0,80.0,0,0,B,0,0,,,0.4847871999954805
7,C3FDirect,16,16,16,8281.441,382,16,1,29,5783.593149442607,5922.440898561755,3684.5931494426054,2237.847749119148,1910.0,369.0,80.0,0,0,C,224,84,,,0.31474420000449754
7,DG_k1_t0,16,16,16,9051.45,446,16,1,27,5685.505201825436,6316.450440855386,3570.505201825437,2745.945239029951,2230.0,425.0,80.0,0,0,B,0,0,B,0,0.5412996000086423
7,DG_k2_t0,16,16,16,8281.441,382,16,1,29,5783.593149442607,5922.440898561755,3684.5931494426054,2237.847749119148,1910.0,369.0,80.0,0,0,C,224,84,C,2,0.33197470000595786
7,DG_k3_t0,16,16,16,8281.441,382,16,1,29,5783.593149442607,5922.440898561755,3684.5931494426054,2237.847749119148,1910.0,369.0,80.0,0,0,C,224,84,C,3,0.3075124000024516
7,DG_k3_t1,16,16,16,8281.441,382,16,1,29,5783.593149442607,5922.440898561755,3684.5931494426054,2237.847749119148,1910.0,369.0,80.0,0,0,C,224,84,C,3,0.3185912999906577
