case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
16,DG_k1_t0,16,16,16,8589.785,426,16,1,27,6366.747940573612,5969.78477442012,3964.747940573613,2005.0368338465069,2130.0,410.0,80.0,0,0,B,0,0,B,0,0.6859766999841668
16,DG_k2_t0,16,16,16,8840.812,446,16,1,27,6617.774766502118,6100.811600348624,4095.774766502118,2005.0368338465069,2230.0,430.0,80.0,0,0,B,0,0,B,0,0.5956308000022545
16,DG_k3_t0,16,16,16,9239.483,466,16,1,27,7016.446365967265,6379.4831998137715,4374.446365967265,2005.0368338465069,2330.0,450.0,80.0,0,0,B,0,0,B,0,0.6447539000073448
16,DG_k3_t1,16,16,16,9239.483,466,16,1,27,7016.446365967265,6379.4831998137715,4374.446365967265,2005.0368338465069,2330.0,450.0,80.0,0,0,B,0,0,B,0,0.6646113999886438
16,DG_k5_t2,16,16,16,10062.613,503,16,1,27,7740.918739083164,6980.613370867619,4876.918739083166,2103.6946317844536,2515.0,487.0,80.0,0,0,B,0,1,B,2,0.6585115999914706
17,Cplus3F,16,16,16,9467.932,516,16,1,27,6379.177916220831,6314.9317652242025,3768.177916220834,2546.75384900337,2580.0,493.0,80.0,0,0,B,0,0,,,0.3941367999941576
17,C3FDirect,16,16,16,11906.519,741,16,1,29,6312.564781161215,7398.519473223239,3634.564781161215,3763.954692062023,3705.0,723.0,80.0,0,0,C,339,293,,,0.7176882000057958
17,DG_k1_t0,16,16,16,9729.927,536,16,1,27,6641.17310020127,6456.926949204641,3910.173100201272,2546.75384900337,2680.0,513.0,80.0,0,0,B,0,0,B,0,0.4150299000029918
17,DG_k2_t0,16,16,16,9980.954,556,16,1,27,6892.199926129775,6587.9537751331445,4041.199926129777,2546.75384900337,2780.0,533.0,80.0,0,0,B,0,0,B,0,0.32013069998356514
17,DG_k3_t0,16,16,16,10379.625,576,16,1,27,7290.871525594922,6866.62537459829,4319.871525594923,2546.75384900337,2880.0,553.0,80.0,0,0,B,0,0,B,0,0.4896279999811668
17,DG_k3_t1,16,16,16,10379.625,576,16,1,27,7290.871525594922,6866.62537459829,4319.871525594923,2546.75384900337,2880.0,553.0,80.0,0,0,B,0,0,B,0,0.3505271000030916
17,DG_k5_t2,16,16,16,11073.94,610,16,1,27,8019.749357741174,7355.940337796653,4821.749357741174,2534.19098005548,3050.0,588.0,80.0,0,0,B,0,1,B,2,0.3311016999941785
18,Cplus3F,16,16,16,9264.093,475,16,1,27,5977.6932653989315,6339.092891586696,3797.693265398934,2541.3996261877614,2375.0,470.0,80.0,0,0,B,0,0,,,0.3181458000035491
18,C3FDirect,16,16,16,8109.869,458,16,1,29,5117.862209286115,5292.869196678906,3021.862209286115,2271.0069873927896,2290.0,447.0,80.0,0,0,C,258,135,,,0.4263107000151649
18,DG_k1_t0,16,16,16,9526.088,495,16,1,27,6239.6884493793705,6481.088075567135,3939.688449379372,2541.3996261877614,2475.0,490.0,80.0,0,0,B,0,0,B,0,0.3216528999910224
18,DG_k2_t0,16,16,16,9777.115,515,16,1,27,6490.715275307876,6612.11490149564,4070.7152753078767,2541.3996261877614,2575.0,510.0,80.0,0,0,B,0,0,B,0,0.2896177000075113
18,DG_k3_t0,16,16,16,8109.869,458,16,1,29,5117.862209286115,5292.869196678906,3021.862209286115,2271.0069873927896,2290.0,447.0,80.0,0,0,C,258,135,C,1,0.3799265999987256
18,DG_k3_t1,16,16,16,10600.049,552,16,1,27,6912.3267842817695,7213.048810892783,4378.32678428177,2834.7220266110116,2760.0,547.0,80.0,0,0,B,0,0,B,1,0.35094699999899603
18,DG_k5_t2,16,16,16,11309.476,590,16,1,27,7622.138331712094,7694.475725447383,4860.138331712094,2834.337393735288,2950.0,585.0,80.0,0,0,B,1,2,B,2,0.2809566000069026
19,Cplus3F,16,16,16,9847.126,479,16,1,27,6417.845441950957,6919.126010446719,3987.845441950958,2931.280568495761,2395.0,453.0,80.0,0,0,B,0,0,,,0.3129896999744233
19,C3FDirect,16,16,16,12741.581,728,16,1,29,6396.842555011764,8337.580839810822,3701.842555011763,4635.738284799062,3640.0,684.0,80.0,0,0,C,417,231,,,1.032192099984968
19,DG_k1_t0,16,16,16,10109.121,499,16,1,27,6679.840625931396,7061.121194427157,4129.840625931396,2931.280568495761,2495.0,473.0,80.0,0,0,B,0,0,B,0,0.3377078000048641
19,DG_k2_t0,16,16,16,10360.148,519,16,1,27,6930.867451859902,7192.148020355661,4260.867451859901,2931.280568495761,2595.0,493.0,80.0,0,0,B,0,0,B,0,0.38390549999894574
19,DG_k3_t0,16,16,16,12741.581,728,16,1,29,6396.842555011764,8337.580839810822,3701.842555011763,4635.738284799062,3640.0,684.0,80.0,0,0,C,417,231,C,2,1.1776587000058498
19,DG_k3_t1,16,16,16,12741.581,728,16,1,29,6396.842555011764,8337.580839810822,3701.842555011763,4635.738284799062,3640.0,684.0,80.0,0,0,C,417,231,C,2,1.1051000999868847
