case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
125,14,14,14,4807.395,128,16
126,11,11,11,4001.14,121,11
127,12,12,12,4499.16,127,12
128,16,16,16,4362.202,124,18
129,15,15,15,4379.587,122,15
130,12,12,12,4315.01,119,17
131,11,11,11,4672.183,132,18
132,13,13,13,5686.387,141,24
133,14,14,14,4228.407,132,14
134,15,15,15,4186.611,121,17
135,10,10,10,4039.007,139,10
136,13,13,13,3688.799,128,13
137,15,15,15,4038.608,108,23
138,12,12,12,4455.353,129,18
139,16,16,16,4771.405,118,23
140,14,14,14,4273.584,121,16
141,11,11,11,3929.846,123,14
142,10,10,10,4950.066,137,20
143,12,12,12,4758.569,139,21
144,13,13,13,4094.033,122,14
145,16,16,16,4535.48,118,21
146,12,12,12,4255.688,133,14
147,12,12,12,4482.048,138,12
148,13,13,13,4951.321,135,23
149,10,10,10,3556.979,129,11
150,13,13,13,4510.821,119,13
151,12,12,12,4748.725,140,20
152,11,11,11,3907.398,126,16
153,11,11,11,4099.305,131,13
154,14,14,14,4344.857,121,15
155,14,14,14,5808.122,126,27
156,15,15,15,4438.044,132,17
157,16,16,16,4347.978,120,20
158,15,15,15,4639.814,129,20
159,10,10,10,3826.872,117,12
160,10,10,10,4093.67,126,11
161,14,14,14,5013.496,134,19
162,10,10,10,4573.003,133,17
163,13,13,13,3903.724,128,13
164,15,15,15,4232.447,118,18
165,14,14,14,4087.649,119,19
166,16,16,16,4848.847,134,19
167,15,15,15,5170.384,130,20
168,10,10,10,4155.638,124,10
169,11,11,11,4299.436,134,19
170,11,11,11,3858.35,130,16
171,16,16,16,4336.261,124,16
172,13,13,13,4417.093,127,19
173,11,11,11,4417.664,137,11
174,12,12,12,4360.211,136,22
175,12,12,12,3944.532,124,16
176,12,12,12,4101.369,128,13
177,15,15,15,4694.368,125,20
178,16,16,16,5065.291,120,28
179,14,14,14,3620.598,103,16
180,14,14,14,4169.178,122,14
181,14,14,14,4560.687,125,15
182,15,15,15,4671.883,129,15
183,11,11,11,4713.48,142,21
184,15,15,15,4813.009,127,19
185,12,12,12,3924.886,129,12
186,16,16,16,4323.135,107,21
187,15,15,15,4395.655,124,16
188,16,16,16,5612.224,120,31
189,11,11,11,3709.721,127,11
