case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
81,Cplus3FB,15,15,15,7601.979,320,15,1,29,5486.158802579879,5621.979014574778,3679.1588025798787,1942.820211994901,1600.0,305.0,75.0,0,3,C,93,53,0,[],,,,,0.2464107999985572
81,B,15,15,15,8806.889,370,15,1,27,6153.525223905722,6523.889249988193,4122.525223905724,2401.3640260824714,1850.0,358.0,75.0,0,,,,,,,,,,,0.3440591999969911
82,Cplus3F,11,11,11,7737.555,384,11,1,29,5830.070795404029,5395.555401924626,3654.070795404028,1741.4846065205988,1920.0,367.0,55.0,0,4,C,43,70,,,,,,,0.3597079000028316
82,Cplus3FB,11,11,11,7737.555,384,11,1,29,5830.070795404029,5395.555401924626,3654.070795404028,1741.4846065205988,1920.0,367.0,55.0,0,4,C,43,70,0,[],,,,,0.30908229999477044
82,B,11,11,11,8365.292,387,11,1,27,6264.8719793931805,6000.2922749646705,4081.871979393182,1918.4202955714893,1935.0,375.0,55.0,0,,,,,,,,,,,0.2871549999981653
83,Cplus3F,15,15,15,6929.683,285,15,1,29,5351.430104665975,5149.683445096584,3743.4301046659753,1406.253340430608,1425.0,280.0,75.0,0,3,C,60,58,,,,,,,0.17860840001958422
83,Cplus3FB,15,15,15,6929.683,285,15,1,29,5351.430104665975,5149.683445096584,3743.4301046659753,1406.253340430608,1425.0,280.0,75.0,0,3,C,60,58,0,[],,,,,0.2339155999943614
83,B,15,15,15,8098.053,358,15,1,27,6163.760075985977,5886.053037471464,4127.760075985978,1758.2929614854875,1790.0,347.0,75.0,0,,,,,,,,,,,0.32760799999232404
84,Cplus3F,14,14,14,7348.668,310,14,1,29,5480.205143824836,5421.667538211266,3661.2051438248363,1760.462394386431,1550.0,307.0,70.0,0,5,C,76,53,,,,,,,0.15517569999792613
84,Cplus3FB,14,14,14,7348.668,310,14,1,29,5480.205143824836,5421.667538211266,3661.2051438248363,1760.462394386431,1550.0,307.0,70.0,0,5,C,76,53,0,[],,,,,0.14867209998192266
84,B,14,14,14,8272.271,354,14,1,27,6111.887394619146,6088.271409530939,4115.887394619148,1972.3840149117916,1770.0,344.0,70.0,0,,,,,,,,,,,0.45977300000959076
85,Cplus3F,11,11,11,7267.077,383,11,1,29,5842.159499634027,4917.077143389931,3630.1594996340264,1286.9176437559045,1915.0,380.0,55.0,0,4,C,68,73,,,,,,,0.10325780001585372
