case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
21,Cplus3FB,16,16,16,8992.841,385,16,1,27,5767.132294017961,6630.841309607472,3816.132294017963,2814.7090155895085,1925.0,357.0,80.0,0,0,B,55,53,0,"[{'channel': 14, 'point': [1119.0, 427.0], 'min_dist_m': 1686.4, 'truth_success': False}, {'channel': 14, 'point': [1724.0, 938.8], 'min_dist_m': 1806.7, 'truth_success': False}, {'channel': 14, 'point': [1960.6, 97.8], 'min_dist_m': 2494.1, 'truth_success': False}]",,,,,0.4011229000170715
21,B,16,16,16,9334.841,440,16,1,27,5905.132294017961,6630.841309607472,3816.132294017963,2814.7090155895085,2200.0,424.0,80.0,0,,,,,,,,,,,0.3920650999934878
22,Cplus3F,16,16,16,8944.264,401,16,1,27,5803.821689145008,6482.264443772358,3715.8216891450097,2766.4427546273478,2005.0,377.0,80.0,0,0,B,0,0,,,,,,,0.4245175000105519
22,Cplus3FB,16,16,16,8873.264,389,16,1,27,5803.821689145008,6482.264443772358,3715.8216891450097,2766.4427546273478,1945.0,366.0,80.0,0,0,B,12,40,0,"[{'channel': 8, 'point': [-371.3, -1659.9], 'min_dist_m': 2289.3, 'truth_success': False}, {'channel': 8, 'point': [1254.8, -992.7], 'min_dist_m': 3134.3, 'truth_success': False}, {'channel': 8, 'point': [1347.2, -954.4], 'min_dist_m': 3186.9, 'truth_success': False}]",,,,,0.39276049999170937
22,B,16,16,16,8944.264,401,16,1,27,5803.821689145008,6482.264443772358,3715.8216891450097,2766.4427546273478,2005.0,377.0,80.0,0,,,,,,,,,,,0.3888015999982599
23,Cplus3F,16,16,16,8183.345,352,16,1,27,5771.586881385714,6012.344951626958,3926.586881385715,2085.7580702412433,1760.0,331.0,80.0,0,0,B,0,0,,,,,,,0.28557350000482984
23,Cplus3FB,16,16,16,8046.345,328,16,1,27,5759.586881385714,6012.344951626958,3926.586881385715,2085.7580702412433,1640.0,314.0,80.0,0,0,B,24,25,0,"[{'channel': 10, 'point': [-1808.9, 762.5], 'min_dist_m': 1570.8, 'truth_success': False}, {'channel': 10, 'point': [-1298.9, 1471.9], 'min_dist_m': 1989.8, 'truth_success': False}, {'channel': 10, 'point': [-1046.2, 1633.5], 'min_dist_m': 2038.6, 'truth_success': False}]",,,,,0.26695680001284927
23,B,16,16,16,8183.345,352,16,1,27,5771.586881385714,6012.344951626958,3926.586881385715,2085.7580702412433,1760.0,331.0,80.0,0,,,,,,,,,,,0.28522190000512637
24,Cplus3F,16,16,16,10895.339,568,16,1,27,6055.020169817162,7412.339207527243,3786.020169817165,3626.319037710081,2840.0,563.0,80.0,0,0,B,0,0,,,,,,,0.5242663999961223
24,Cplus3FB,16,16,16,10337.339,478,16,1,27,6019.020169817162,7412.339207527243,3786.020169817165,3626.319037710081,2390.0,455.0,80.0,0,0,B,90,94,0,"[{'channel': 4, 'point': [-340.9, -1933.2], 'min_dist_m': 1692.7, 'truth_success': False}, {'channel': 4, 'point': [-1145.9, -1593.9], 'min_dist_m': 1924.3, 'truth_success': False}, {'channel': 4, 'point': [-1724.0, -938.8], 'min_dist_m': 2150.7, 'truth_success': False}]",,,,,0.35054369998397306
24,B,16,16,16,10895.339,568,16,1,27,6055.020169817162,7412.339207527243,3786.020169817165,3626.319037710081,2840.0,563.0,80.0,0,,,,,,,,,,,0.3733209000201896
25,Cplus3F,16,16,16,10932.139,565,16,1,27,6508.466016353947,7481.138770169783,3985.4660163539497,3495.6727538158375,2825.0,546.0,80.0,0,0,B,0,0,,,,,,,0.7375328000052832
25,Cplus3FB,16,16,16,10332.139,468,16,1,27,6328.466016353947,7481.138770169783,3985.4660163539497,3495.6727538158375,2340.0,431.0,80.0,0,0,B,97,68,0,"[{'channel': 9, 'point': [1133.4, 1589.7], 'min_dist_m': 1865.7, 'truth_success': False}, {'channel': 9, 'point': [1119.0, 427.0], 'min_dist_m': 2215.4, 'truth_success': False}, {'channel': 9, 'point': [1724.0, 938.8], 'min_dist_m': 2555.0, 'truth_success': False}]",,,,,0.6102689999970607
25,B,16,16,16,10932.139,565,16,1,27,6508.466016353947,7481.138770169783,3985.4660163539497,3495.6727538158375,2825.0,546.0,80.0,0,,,,,,,,,,,0.7065758000244386
26,Cplus3F,16,16,16,9042.604,455,16,1,27,6120.115035038407,6244.604378971278,3795.1150350384087,2449.4893439328694,2275.0,443.0,80.0,0,0,B,0,0,,,,,,,0.3795735000167042
26,Cplus3FB,16,16,16,8746.604,405,16,1,27,5988.115035038407,6244.604378971278,3795.1150350384087,2449.4893439328694,2025.0,397.0,80.0,0,0,B,50,55,0,"[{'channel': 5, 'point': [1133.4, 1589.7], 'min_dist_m': 1749.1, 'truth_success': False}, {'channel': 5, 'point': [1119.0, 427.0], 'min_dist_m': 2144.9, 'truth_success': False}, {'channel': 5, 'point': [1724.0, 938.8], 'min_dist_m': 2455.2, 'truth_success': False}]",,,,,0.31411879998631775
26,B,16,16,16,9042.604,455,16,1,27,6120.115035038407,6244.604378971278,3795.1150350384087,2449.4893439328694,2275.0,443.0,80.0,0,,,,,,,,,,,0.39503429998876527
27,Cplus3F,16,16,16,9926.759,500,16,1,27,6112.162650785491,6871.7589121248775,3758.162650785492,3113.596261339387,2500.0,475.0,80.0,0,0,B,0,0,,,,,,,0.45032820000778884
27,Cplus3FB,16,16,16,9593.759,444,16,1,27,6016.162650785491,6871.7589121248775,3758.162650785492,3113.596261339387,2220.0,422.0,80.0,0,0,B,56,59,0,"[{'channel': 12, 'point': [1808.9, -762.5], 'min_dist_m': 1531.6, 'truth_success': False}, {'channel': 12, 'point': [1298.9, -1471.9], 'min_dist_m': 1907.5, 'truth_success': False}, {'channel': 12, 'point': [601.1, -1871.6], 'min_dist_m': 2096.0, 'truth_success': False}]",,,,,0.3806560999946669
27,B,16,16,16,9926.759,500,16,1,27,6112.162650785491,6871.7589121248775,3758.162650785492,3113.596261339387,2500.0,475.0,80.0,0,,,,,,,,,,,0.5165591999830212
28,Cplus3F,16,16,16,9212.648,394,16,1,27,6051.047475259255,6799.647722901751,3916.0474752592568,2883.6002476424937,1970.0,363.0,80.0,0,0,B,0,0,,,,,,,0.45056349999504164
28,Cplus3FB,16,16,16,9212.648,394,16,1,27,6051.047475259255,6799.647722901751,3916.0474752592568,2883.6002476424937,1970.0,363.0,80.0,0,0,B,0,40,0,[],,,,,0.5791074999724515
28,B,16,16,16,9212.648,394,16,1,27,6051.047475259255,6799.647722901751,3916.0474752592568,2883.6002476424937,1970.0,363.0,80.0,0,,,,,,,,,,,0.4836611000064295
29,Cplus3F,16,16,16,8363.262,431,16,1,27,4947.075197967614,5708.261944461118,3019.075197967615,2689.186746493505,2155.0,420.0,80.0,0,0,B,0,0,,,,,,,0.32655199998407625
