scenario,model,seed,cases,all_cleared_rate,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,anomalies,hard_fail_cases,mean_per_source,median_per_source,p90_per_source,p95_per_source,max_per_source,mean_total_per_source,mean_movement_per_source,mean_detect_switch_per_source,mean_clear_time_per_source,mean_last_discovery_per_source,mean_search_end_per_source,mean_search_movement_per_source,mean_not_ready_rate,mean_active_measurements_per_source,mean_co_measurements_per_source,mean_switches_per_source,mean_insertions_per_source,mean_decision_wall_s,mean_decomposition_error_s,mean_ci_low,mean_ci_high,bootstrap_mean
S2_min_radius,J,155921,200,1,0,0,0,0,0,0,0,0,313.5401619561272,310.8455174825175,385.2246,392.2711,429.17780000000005,313.5401619561272,246.82490399703298,61.715257305194804,5.0,146.2180487773555,163.1391001129019,105.30874709092387,0.4518678404928405,2.26902331002331,1.2852409257409256,9.914294205794207,0.49226436063936063,0.9554219454986742,0.00024222010491939728,,,
S2_min_radius,J+,pooled,600,1,0,0,0,0,0,0,0,0,305.21116359937287,300.3847366071428,367.9887,388.3675,442.591,305.21116359937287,242.26330205708814,57.94785936979687,5.0,134.1167319243508,151.08784387285044,98.08190498534904,0.5221636627261628,1.8559735125985126,1.3595512959262959,9.34445575951826,0.0,0.18254519649946208,0.0002506410730135637,301.5737148509081,308.8833848484157,305.22245500289404
S2_min_radius,J+,104729,200,1,0,0,0,0,0,0,0,0,307.1158920877872,305.22681025641026,372.37466666666666,389.42109999999997,442.591,307.1158920877872,243.84360877651443,58.272281822344326,5.0,133.75120872957217,151.48141789601235,98.20050301922245,0.5136928488178488,1.8718093573093573,1.3570012487512488,9.393040542790542,0.0,0.18442257149887153,0.00024954035650353034,,,
S2_min_radius,J+,130363,200,1,0,0,0,0,0,0,0,0,300.7481860655386,296.2061166666667,354.6025,371.4295,419.94960000000003,300.7481860655386,239.14065170248782,56.60753217615718,5.0,132.48933957251495,148.78018598022493,97.005061063475,0.517913961038961,1.8475459956709956,1.3661008782883783,9.125640942390943,0.0,0.18366385399975116,0.00024181220682294223,,,
S2_min_radius,J+,155921,200,1,0,0,0,0,0,0,0,0,307.7694126447927,301.0033571428571,374.6034,389.5551,416.8648,307.7694126447927,243.80564569226217,58.96376411088911,5.0,136.1096474709653,153.00192774231402,99.04015087334966,0.5348841783216783,1.8485651848151847,1.3555517607392606,9.514685793373292,0.0,0.17954916399976356,0.00026057065571421844,,,
S3_systematic_bias,I,pooled,600,1,0,0,0,0,0,0,0,0,310.5954635337926,305.1842023809524,376.85790000000003,387.3440909090909,437.6343,310.5954635337926,250.06491934617213,55.53054356060606,5.0,142.24476628521273,166.02057404424772,115.00122755046372,0.5284101384726385,2.7541219336219336,1.6935053418803419,8.90961879093129,0.5917355491730492,1.0950184346661749,0.0002471892580592794,306.8842866330546,314.38777511234645,310.5796139582618
S3_systematic_bias,I,104729,200,1,0,0,0,0,0,0,0,0,311.01160827755575,307.05833333333334,376.85790000000003,383.0173,420.20709999999997,311.01160827755575,250.317576340109,55.69403096903097,5.0,141.44250799241658,165.90193042496097,114.68851606848412,0.5214184981684982,2.775168269230769,1.70194517982018,8.944046058108558,0.5998583083583083,1.1144764859991847,0.00024376521851081633,,,
S3_systematic_bias,I,130363,200,1,0,0,0,0,0,0,0,0,312.9268998805153,304.11330769230767,379.6351,390.6041,437.6343,312.9268998805153,251.58341433666973,56.34348378704629,5.0,143.62370691723706,168.92108662463298,116.99988012280147,0.531738116050616,2.7432692307692306,1.6863938353313352,9.036624916749917,0.591888215950716,1.0802847889997065,0.0002578500511162929,,,
S3_systematic_bias,I,155921,200,1,0,0,0,0,0,0,0,0,307.8478824433067,302.9781230769231,370.1805,386.8959090909091,412.19539999999995,307.8478824433067,248.29376736173768,54.55411592574092,5.0,141.66808394598456,163.23870508314923,113.3152864601056,0.5320738011988012,2.743928300865801,1.6921770104895104,8.748185397935398,0.5834601232101232,1.0902940289996332,0.00023995250455072892,,,
S3_systematic_bias,J,pooled,600,1,0,0,0,0,0,0,0,0,301.8359705069444,297.1198766233766,365.7386,379.1053,416.841,301.8359705069444,236.74102050778566,60.09495159007659,5.0,131.68386996032993,160.94145496102118,104.68870753483625,0.473168185980686,2.8458574064824065,1.7831611582861584,9.675993117993118,0.5944842102342103,1.321041633333807,0.00025865417856797045,298.25473692538543,305.50534982097315,301.8372292427917
S3_systematic_bias,J,104729,200,1,0,0,0,0,0,0,0,0,302.0577836916001,301.4628785714285,361.7318,369.90189999999996,406.207,302.0577836916001,236.77463620415958,60.283148289210786,5.0,129.39309776748385,160.74602892464432,104.34103935171724,0.4693650308025308,2.8528067765567764,1.7863738344988345,9.700257326007327,0.5955298451548452,1.3227755090007849,0.00026435685670776364,,,
S3_systematic_bias,J,130363,200,1,0,0,0,0,0,0,0,0,305.4345641603397,296.8389480519481,377.5838,386.476,416.841,305.4345641603397,239.03167097645098,61.40289679070929,5.0,134.70801899280337,164.08142814744684,106.4902961128148,0.4794313603063603,2.8681408175158176,1.7978413877788877,9.903507742257743,0.6013851565101566,1.3179534345002322,0.00026577114706924474,,,
