case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
116,DG_k1_t0,16,16,16,10028.769,450,16,1,29,5926.9058915889445,7283.76890110391,3763.9058915889455,3519.863009514966,2250.0,415.0,80.0,0,0,C,289,105,C,1,0.6421895000094082
116,DG_k3_t0,16,16,16,10028.769,450,16,1,29,5926.9058915889445,7283.76890110391,3763.9058915889455,3519.863009514966,2250.0,415.0,80.0,0,0,C,289,105,C,4,0.7766678000043612
116,C3FDirect,16,16,16,10028.769,450,16,1,29,5926.9058915889445,7283.76890110391,3763.9058915889455,3519.863009514966,2250.0,415.0,80.0,0,0,C,289,105,,,0.7149695999978576
116,B,16,16,16,9765.867,538,16,1,27,6038.5812260428465,6470.867184392325,3766.581226042848,2704.2859583494815,2690.0,525.0,80.0,0,,,,,,,0.5617447000113316
116,C,16,16,16,10866.317,531,16,1,29,6378.9247101238625,7622.316796850657,3658.924710123861,3963.392086726794,2655.0,509.0,80.0,0,,,,,,,0.610084599989932
117,Cplus3F,16,16,16,10101.985,450,16,1,27,6296.983532266327,7354.985031801886,4123.9835322663275,3231.0014995355646,2250.0,417.0,80.0,0,0,B,0,0,,,0.49391769999056123
117,DG_k1_t0,16,16,16,8189.344,350,16,1,29,5721.9492478947595,6015.34447007079,3701.9492478947577,2313.395222176033,1750.0,344.0,80.0,0,0,C,144,74,C,1,0.18516320001799613
117,DG_k3_t0,16,16,16,8189.344,350,16,1,29,5721.9492478947595,6015.34447007079,3701.9492478947577,2313.395222176033,1750.0,344.0,80.0,0,0,C,144,74,C,6,0.1757742999761831
117,C3FDirect,16,16,16,8189.344,350,16,1,29,5721.9492478947595,6015.34447007079,3701.9492478947577,2313.395222176033,1750.0,344.0,80.0,0,0,C,144,74,,,0.1734981999907177
117,B,16,16,16,10101.985,450,16,1,27,6296.983532266327,7354.985031801886,4123.9835322663275,3231.0014995355646,2250.0,417.0,80.0,0,,,,,,,0.5183544000028633
117,C,16,16,16,8980.607,409,16,1,29,5972.11079391414,6462.606584086667,3637.11079391414,2825.495790172527,2045.0,393.0,80.0,0,,,,,,,0.5659076000156347
118,Cplus3F,16,16,16,10094.601,497,16,1,27,6118.313109103303,7042.6011563257725,3974.3131091033038,3068.2880472224683,2485.0,487.0,80.0,0,0,B,0,0,,,0.6808871999965049
