case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
52,DG_k3_t0,16,16,16,11036.679,618,16,1,29,6135.813934767956,7256.679044992393,3661.813934767955,3594.86511022444,3090.0,610.0,80.0,0,0,C,305,205,C,1,0.5941401000018232
52,C3FDirect,16,16,16,11036.679,618,16,1,29,6135.813934767956,7256.679044992393,3661.813934767955,3594.86511022444,3090.0,610.0,80.0,0,0,C,305,205,,,0.8292921000102069
52,B,16,16,16,8423.868,385,16,1,27,6291.697387585568,6039.867962109398,4023.69738758557,2016.170574523826,1925.0,379.0,80.0,0,,,,,,,0.20258079998893663
52,C,16,16,16,11729.084,720,16,1,29,6594.251431746939,7336.084072456931,3632.251431746937,3703.8326407099958,3600.0,713.0,80.0,0,,,,,,,1.1676208000280894
53,Cplus3F,16,16,16,8642.746,389,16,1,27,5978.324928836611,6241.745876369215,3761.324928836613,2480.4209475326024,1945.0,376.0,80.0,0,0,B,0,0,,,0.4548621000139974
53,DG_k1_t0,16,16,16,8904.741,409,16,1,27,6240.32011281705,6383.741060349653,3903.320112817051,2480.4209475326024,2045.0,396.0,80.0,0,0,B,0,0,B,0,0.411745699995663
53,DG_k3_t0,16,16,16,9554.439,449,16,1,27,6890.018538210702,6793.439485743304,4313.018538210703,2480.4209475326024,2245.0,436.0,80.0,0,0,B,0,0,B,0,0.4485458999988623
53,C3FDirect,16,16,16,12632.09,701,16,1,29,6246.365122795882,8371.089698967515,3659.365122795881,4711.7245761716395,3505.0,676.0,80.0,0,0,C,633,231,,,1.2027084000001196
53,B,16,16,16,8642.746,389,16,1,27,5978.324928836611,6241.745876369215,3761.324928836613,2480.4209475326024,1945.0,376.0,80.0,0,,,,,,,0.4114380000100937
53,C,16,16,16,16367.311,1197,16,1,29,6864.314360658867,9113.310819866474,3657.314360658866,5455.9964592076085,5985.0,1189.0,80.0,0,,,,,,,0.875955099996645
54,Cplus3F,16,16,16,8591.215,410,16,1,27,6054.816049023318,6059.214937997188,3816.8160490233167,2242.398888973871,2050.0,402.0,80.0,0,0,B,0,0,,,0.34373669998603873
54,DG_k1_t0,16,16,16,8853.21,430,16,1,27,6316.811233003756,6201.210121977626,3958.8112330037548,2242.398888973871,2150.0,422.0,80.0,0,0,B,0,0,B,0,0.30177210000692867
54,DG_k3_t0,16,16,16,9502.909,470,16,1,27,6966.509658397407,6610.908547371277,4368.509658397406,2242.398888973871,2350.0,462.0,80.0,0,0,B,0,0,B,0,0.23065300000598654
