seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,search_movement_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
271828,6,Jplus,11,1,340.35145454545454,264.62420387559064,70.72727272727273,5.0,11.818181818181818,11.636363636363637,155.797953,180.848270751155,112.848270751155,0.9090909090909091,0.45454545454545453,1.7272727272727273,1.3636363636363635,0.0,0.00024263149725811672
271828,6,Ring8,11,1,340.3143636363636,260.2234814407793,75.0909090909091,5.0,12.545454545454545,12.363636363636363,169.16088318181818,196.58979317423282,123.3170659015056,0.7272727272727273,0.45454545454545453,2.3636363636363638,1.3636363636363635,0.6363636363636364,0.0002958485724775528
271828,7,I,12,1,329.57141666666666,264.8214053896767,59.75,5.0,10.0,9.75,146.93106091666667,182.50712822578194,125.34046155911524,0.8333333333333334,0.4166666666666667,2.3333333333333335,1.5,0.5833333333333334,0.0001353238794763456
271828,7,J,12,1,331.42475,258.25804584771817,68.16666666666667,5.0,11.416666666666666,11.083333333333334,148.948342,174.25594367884716,109.9226103455138,1.0,0.3333333333333333,2.6666666666666665,1.5833333333333333,0.6666666666666666,0.00044982738199905725
271828,7,Jplus,12,1,323.2866666666667,253.619998490728,64.66666666666667,5.0,10.833333333333334,10.5,139.39728983333333,161.86008115684498,103.44341449017827,1.0,0.5833333333333334,2.0833333333333335,1.6666666666666667,0.0,1.8111264125764137e-05
271828,7,Ring8,12,1,331.9676666666667,255.80103093528308,71.16666666666667,5.0,11.916666666666666,11.583333333333334,153.27250949999998,175.6187044078506,108.86870440785064,0.9166666666666666,0.5833333333333334,2.5833333333333335,1.5833333333333333,0.6666666666666666,0.0003712233969963563
271828,8,I,10,1,380.5524,302.8523547247224,72.7,5.0,12.2,11.7,216.50869029999998,219.50869025461492,150.308690254615,0.8,0.5,2.4,1.4,0.6,0.0004527527762547834
271828,8,J,10,1,343.4552,259.1552481405741,79.3,5.0,13.3,12.8,133.80998879999999,212.8104881787868,136.41048817878684,0.7,0.4,2.9,1.8,0.6,0.00048140574062927044
271828,8,Jplus,10,1,337.2737,259.4736871178177,72.8,5.0,12.2,11.8,118.76604870000001,198.36654808585735,128.96654808585737,0.9,0.4,1.8,1.5,0.0,0.00012882182318207924
271828,8,Ring8,10,1,381.6663,283.2663148616985,93.4,5.0,15.7,14.9,181.630693,216.25260511616597,128.952605116166,0.8,0.4,3.6,2.1,0.7,0.0001486169849158614
