case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
16,ClippedRoute,12,12,12,10974.715,404,12,1,31,8455.759787813715,8506.714706819754,6166.759787813714,2339.95491900604,2020.0,388.0,60.0,0,0.34508300002198666
17,L950_C2,13,13,13,9848.792,299,13,1,31,8108.075126480879,8003.79162068677,6437.075126480879,1566.7164942058946,1495.0,285.0,65.0,0,0.27892360000987537
17,Route31,13,13,13,9867.623,344,13,1,31,8075.895819604706,7755.622960484133,6158.895819604706,1596.7271408794288,1720.0,327.0,65.0,0,0.29823350001242943
17,ClippedRoute,13,13,13,9867.623,344,13,1,31,8075.895819604706,7755.622960484133,6158.895819604706,1596.7271408794288,1720.0,327.0,65.0,0,0.30189940001582727
18,L950_C2,11,11,11,10312.484,377,11,1,31,8587.696410049279,8003.484147005404,6423.696410049278,1579.787736956125,1885.0,369.0,55.0,0,0.28073690002202056
18,Route31,11,11,11,10829.53,406,11,1,31,8477.530238601756,8358.530478685027,6194.530238601756,2164.00024008327,2030.0,386.0,55.0,0,0.2948200000100769
18,ClippedRoute,11,11,11,10829.53,406,11,1,31,8477.530238601756,8358.530478685027,6194.530238601756,2164.00024008327,2030.0,386.0,55.0,0,0.2945884999935515
19,L950_C2,15,15,15,10358.889,294,15,1,31,8043.520255353253,8533.889067573245,6420.520255353253,2113.368812219995,1470.0,280.0,75.0,0,0.4111738000065088
19,Route31,15,15,15,10653.343,340,15,1,31,7916.268960314259,8565.342941267698,6117.268960314259,2448.0739809534402,1700.0,313.0,75.0,0,0.5900505000026897
19,ClippedRoute,15,15,15,10653.343,340,15,1,31,7916.268960314259,8565.342941267698,6117.268960314259,2448.0739809534402,1700.0,313.0,75.0,0,0.6668405999953393
20,L950_C2,15,15,15,10149.513,273,15,1,31,7991.760941799946,8450.513182909097,6483.760941799946,1966.7522411091527,1365.0,259.0,75.0,0,0.3329719000030309
