case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
35,rand1800,12,12,12,8492.609,367,12,1,25,5774.860929425733,0.40665329998591915,6263.6090878964915,3814.8609294257326,2448.7481584707616,1835.0,334.0,60.0,0
36,rand1800,12,12,12,7808.167,324,12,1,25,5558.644274496778,0.3623379000055138,5820.16699314135,3765.644274496778,2054.522718644573,1620.0,308.0,60.0,0
37,rand1800,12,12,12,8085.474,340,12,1,25,5630.644274496778,0.39092130001517944,6002.47400588389,3765.644274496778,2236.8297313871108,1700.0,323.0,60.0,0
38,rand1800,12,12,12,7998.808,334,12,1,25,5724.705262897206,0.36613289997330867,5949.80841165121,3849.7052628972065,2100.1031487540045,1670.0,319.0,60.0,0
39,rand1800,12,12,12,8108.713,354,12,1,25,5768.644274496777,0.25736240000696853,5933.713155263836,3765.644274496778,2168.068880767056,1770.0,345.0,60.0,0
40,rand1800,12,12,12,7262.69,331,12,1,25,5720.93359639775,0.19768939999630675,5220.69024686532,3803.9335963977505,1416.7566504675683,1655.0,327.0,60.0,0
41,rand1800,12,12,12,7367.214,343,12,1,25,5678.644274496778,0.25247680000029504,5256.213982658616,3765.644274496778,1490.5697081618378,1715.0,336.0,60.0,0
42,rand1800,12,12,12,7680.85,326,12,1,25,5564.644274496778,0.36665650000213645,5680.849579842323,3765.644274496778,1915.2053053455465,1630.0,310.0,60.0,0
43,rand1800,12,12,12,8534.618,362,12,1,25,5822.644274496777,0.23187859999598004,6311.618222003764,3765.644274496778,2545.9739475069864,1810.0,353.0,60.0,0
44,rand1800,12,12,12,8122.484,333,12,1,25,5642.112504849402,0.2446306000056211,6077.484380194428,3766.1125048494023,2311.371875345025,1665.0,320.0,60.0,0
45,rand1800,12,12,12,8617.062,364,12,1,25,5741.481292128282,0.5837446999794338,6405.062265420466,3799.481292128281,2605.5809732921907,1820.0,332.0,60.0,0
46,rand1800,12,12,12,8307.434,320,12,1,25,5510.644274496778,0.5348349999985658,6349.434023769173,3765.644274496778,2583.789749272397,1600.0,298.0,60.0,0
47,rand1800,12,12,12,8393.026,402,12,1,25,6063.227742086991,0.32499409999581985,5933.026375038466,3767.2277420869923,2165.798632951472,2010.0,390.0,60.0,0
48,rand1800,12,12,12,8160.852,393,12,1,25,5894.644274496777,0.28486049998900853,5756.852429180328,3765.644274496778,1991.2081546835516,1965.0,379.0,60.0,0
49,rand1800,12,12,12,8136.472,338,12,1,25,5624.644274496778,0.5146857000072487,6066.472332174371,3765.644274496778,2300.8280576775965,1690.0,320.0,60.0,0
