seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,11,F_fixed_insert,11,1,367.0026363636364,299.8207997865967,62.18181818181818,5.0,10.454545454545455,9.909090909090908,144.4751069090909,204.13841499883156,0.7272727272727273,0.7272727272727273,2.6363636363636362,1.1818181818181819,0.7272727272727273,0.00020234743624314433
112358,11,F,11,1,363.17872727272726,295.81505301133353,62.36363636363637,5.0,10.454545454545455,10.090909090909092,205.9137579090909,210.2773942930304,0.7272727272727273,0.45454545454545453,2.3636363636363638,1.1818181818181819,0.7272727272727273,0.0004168753312114859
112358,12,C+,14,1,293.7888571428571,225.93168489486433,62.857142857142854,5.0,10.5,10.357142857142858,158.07142857142858,163.21428571428572,1.0,0.8571428571428571,1.1428571428571428,0.5714285714285714,0.0,0.00041147189904222614
112358,12,F_fixed_no_insert,14,1,280.52992857142857,230.81562981118714,44.714285714285715,5.0,7.5,7.214285714285714,142.64285714285714,144.35714285714286,1.0,0.8571428571428571,2.0714285714285716,1.3571428571428572,0.0,0.00018264337995788082
112358,12,F_dynamic_no_insert,14,1,325.39328571428575,273.46473369453366,46.92857142857143,5.0,7.857142857142857,7.642857142857143,122.21428571428571,144.7857142857143,1.0,0.8571428571428571,2.357142857142857,1.5,0.0,0.0002717234706324234
112358,12,F_fixed_insert,14,1,267.8513571428571,214.9941838350757,47.857142857142854,5.0,8.0,7.857142857142857,157.50394885714286,158.3610917101518,0.7857142857142857,0.6428571428571429,2.5714285714285716,1.5714285714285714,0.5714285714285714,0.00042630894040485146
112358,12,F,14,1,286.2727142857143,231.48697177004593,49.785714285714285,5.0,8.357142857142858,8.0,135.3604585,157.50331565417585,0.7142857142857143,0.6428571428571429,2.857142857142857,1.7142857142857142,0.5714285714285714,0.0003952193574150442
112358,13,C+,10,1,425.3259,334.225877185642,86.1,5.0,14.4,14.1,187.3,229.7,1.0,0.9,1.1,0.3,0.0,0.00022814357998868218
112358,13,F_fixed_no_insert,10,1,407.5784,335.1784398196629,67.4,5.0,11.3,10.9,172.9,210.5,1.0,0.9,2.0,1.2,0.0,0.0003981966292485595
112358,13,F_dynamic_no_insert,10,1,404.54699999999997,329.64704019796307,69.9,5.0,11.7,11.4,206.3,211.7,1.0,0.9,2.3,1.5,0.0,0.0004019796306238277
112358,13,F_fixed_insert,10,1,421.0348,345.4347855932366,70.6,5.0,11.8,11.6,190.0326991,227.0326990607908,0.9,0.6,2.5,1.2,0.8,0.0001440676342099323
112358,13,F,10,1,404.158,329.6579525037661,69.5,5.0,11.7,11.0,155.0863836,228.61963777642399,0.8,0.7,2.7,1.2,0.8,0.0004749623385578161
112358,14,C+,16,1,287.94425,228.50674160458323,54.4375,5.0,9.125,8.8125,120.0625,122.6875,1.0,1.0,1.6875,0.75,0.0,0.0001343266685580602
112358,14,F_fixed_no_insert,16,1,277.0675,229.8799810478706,42.1875,5.0,7.0625,6.875,106.5625,108.4375,1.0,1.0,2.3125,1.3125,0.0,0.00030323407054311247
112358,14,F_dynamic_no_insert,16,1,249.4815,206.48150678972254,38.0,5.0,6.375,6.125,104.3125,106.1875,1.0,1.0,2.0,1.25,0.0,0.0001086355605366407
112358,14,F_fixed_insert,16,1,252.1235,206.06101896133927,41.0625,5.0,6.875,6.6875,120.4901205,122.36512047589636,0.875,0.625,2.125,1.125,0.4375,0.00030338142823893577
112358,14,F,16,1,251.9185625,205.91858803394175,41.0,5.0,6.875,6.625,116.7182033125,118.59320329664192,0.9375,0.6875,2.5,1.375,0.5,0.000408543067806022
112358,15,C+,11,1,350.0969090909091,274.9150721922103,70.18181818181819,5.0,11.727272727272727,11.545454545454545,136.63636363636363,200.63636363636363,1.0,0.8181818181818182,1.0,0.45454545454545453,0.0,0.0002058856866824499
112358,15,F_fixed_no_insert,11,1,359.986,297.9859920645125,57.0,5.0,9.545454545454545,9.272727272727273,124.63636363636364,187.0,1.0,0.8181818181818182,2.4545454545454546,1.8181818181818181,0.0,8.729036244403687e-05
112358,15,F_dynamic_no_insert,11,1,340.8652727272727,276.319791350952,59.54545454545455,5.0,10.0,9.545454545454545,94.81818181818181,186.45454545454547,1.0,0.8181818181818182,3.0,2.090909090909091,0.0,0.0002951395276795665
112358,15,F_fixed_insert,11,1,338.811,277.90187003344505,55.90909090909091,5.0,9.363636363636363,9.090909090909092,134.12400127272727,195.94218304941057,0.7272727272727273,0.2727272727272727,2.272727272727273,1.1818181818181819,0.7272727272727273,0.0004296321039873874
112358,15,F,11,1,325.10336363636367,263.4669717321798,56.63636363636363,5.0,9.454545454545455,9.363636363636363,144.40472499999998,209.66882546985065,0.5454545454545454,0.09090909090909091,2.3636363636363638,1.5454545454545454,0.7272727272727273,0.0003109460226369265
112358,16,C+,14,1,293.35042857142855,233.20755655953613,55.142857142857146,5.0,9.214285714285714,9.071428571428571,106.5,155.92857142857142,1.0,0.8571428571428571,1.0714285714285714,0.5,0.0,0.00020816649430344114
