seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
61903,24,E_hybrid_belief_route,14,14,14,4369.011,142,14,1,3448.011437,17,11,93,0,0.490261
61903,25,Cplus_completion_coobserve,14,14,14,4747.028,144,14,1,3816.027782,13,5,104,0,0.589158
61903,25,D_hybrid_belief_rolling,14,14,14,4747.637,146,14,1,3805.637488,15,11,104,0,0.36339
61903,25,E_hybrid_belief_route,14,14,14,4761.421,147,14,1,3813.420741,16,7,104,0,0.619055
61903,26,Cplus_completion_coobserve,16,16,16,4104.926,103,16,1,3408.926143,26,14,48,0,0.643447
61903,26,D_hybrid_belief_rolling,16,16,16,3609.356,110,16,1,2877.355901,33,24,48,0,0.709341
61903,26,E_hybrid_belief_route,16,16,16,4098.953,105,16,1,3390.953291,28,16,48,0,0.645576
61903,27,Cplus_completion_coobserve,11,11,11,4707.221,156,11,1,3722.220892,18,5,116,0,0.893177
61903,27,D_hybrid_belief_rolling,11,11,11,4392.962,156,11,1,3405.962008,18,10,117,0,0.677515
61903,27,E_hybrid_belief_route,11,11,11,4703.161,157,11,1,3713.160525,19,6,117,0,0.909049
61903,28,Cplus_completion_coobserve,12,12,12,4517.938,140,12,1,3620.937743,14,6,96,0,0.600621
61903,28,D_hybrid_belief_rolling,12,12,12,4264.11,137,12,1,3383.109711,11,10,96,0,0.083456
61903,28,E_hybrid_belief_route,12,12,12,4521.726,141,12,1,3618.725856,15,8,96,0,0.556114
61903,29,Cplus_completion_coobserve,11,11,11,3993.89,151,11,1,3033.889587,12,6,114,0,0.637403
61903,29,D_hybrid_belief_rolling,11,11,11,3975.715,150,11,1,3023.714778,11,9,114,0,0.296341
61903,29,E_hybrid_belief_route,11,11,11,3978.779,149,11,1,3031.779311,10,5,114,0,0.581818
61903,30,Cplus_completion_coobserve,13,13,13,3861.755,145,13,1,2929.755339,17,10,103,0,0.5041
61903,30,D_hybrid_belief_rolling,13,13,13,4051.364,152,13,1,3079.364256,24,15,103,0,0.486747
61903,30,E_hybrid_belief_route,13,13,13,3861.755,145,13,1,2929.755339,17,10,103,0,0.512503
