case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
33,C,11,11,1,8265.149,6060.236450109597,410,397,13,375,5,8,11,10,0,30,23,28780.744455558146,10409.56220501017,0.2941539000021294
34,B,13,13,1,8092.071,6368.378042930726,382,371,11,345,3,8,13,10,0,30,21,28695.353422219898,8053.4632075662685,0.2743676999816671
34,C,13,13,1,9405.14,5818.5264323263955,466,365,101,341,91,10,13,13,0,29,52,32750.699361057734,14603.067199425755,0.6164679999928921
35,B,15,15,1,8988.55,6048.8719793931805,360,328,32,298,19,13,15,15,0,27,47,33872.75023430474,13463.390337338826,0.7903519000101369
35,C,15,15,1,8877.625,5972.470089686696,430,386,44,358,30,14,15,13,0,31,38,31168.127352685602,12930.776904252136,0.48144289999618195
36,B,13,13,1,8647.166,6074.487902413164,341,325,16,299,6,10,13,10,0,30,26,32725.828126115015,12173.388614049203,0.3061953999858815
36,C,13,13,1,8112.547,5841.143582639586,386,365,21,339,12,9,13,10,0,32,31,28722.73663422849,10537.018721030561,0.521755599998869
37,B,12,12,1,9273.921,6563.238753310971,435,404,31,381,25,6,12,9,0,30,38,33149.60412338007,12523.410356825209,0.3933858999807853
37,C,12,12,1,9949.845,6318.712881905911,535,447,88,427,76,12,12,11,0,30,48,33474.223111389925,15310.658701860386,0.42218600001069717
38,B,10,10,1,8070.537,6279.917244942429,378,365,13,345,5,8,10,9,0,28,22,28802.685067118873,8373.098842406722,0.2741387000132818
38,C,10,10,1,9315.02,6184.526432326396,494,426,68,408,58,10,10,10,0,29,49,31655.097593289796,13507.46543165781,0.45513370001572184
39,B,15,15,1,8518.509,6135.040968364804,348,327,21,297,12,9,15,11,0,31,32,31842.54466607653,11072.33982425251,0.5605216999829281
39,C,15,15,1,9039.583,5789.504956601245,422,352,70,323,53,17,15,14,0,30,48,32272.91516078587,13905.390377779659,0.803619099984644
40,B,11,11,1,8487.529,6169.458485431808,368,341,27,319,18,9,11,9,0,29,36,31227.646493697444,10655.354066538399,0.4639533000008669
40,C,11,11,1,8274.995,5992.526432326396,411,394,17,372,6,11,11,11,0,29,28,28814.975869892492,10667.343708260518,0.43078649998642504
41,B,16,16,1,8889.027,5547.949212636455,358,298,60,268,47,13,16,14,0,27,54,33380.13279613027,14625.386732948002,0.7385552000196185
41,C,16,16,1,8722.696,4475.018030854491,416,283,133,257,117,16,16,16,0,22,60,30813.47983665082,16923.389682378358,0.7050605999829713
42,B,13,13,1,8628.238,6142.301189970791,344,333,11,307,2,9,13,9,0,31,20,32526.18783212457,11899.68188227062,0.21125120000215247
42,C,13,13,1,8679.469,5998.646884416772,415,393,22,367,8,14,13,11,0,31,33,30687.347426442044,12529.113004358172,0.4341159999894444
43,B,13,13,1,7922.295,6073.2827098347425,336,321,15,295,6,9,13,11,0,29,26,29241.476570825893,8550.063021652173,0.3305986999766901
43,C,13,13,1,9085.876,5927.0480296196065,410,368,42,343,28,14,13,9,0,33,27,32849.38127637859,14349.141128280553,0.23449309999705292
44,B,10,10,1,8890.693,6612.8719793931805,437,422,15,402,5,10,10,10,0,27,25,31128.46686756082,10719.106970594903,0.3413202000083402
44,C,10,10,1,8537.637,6260.872248724956,460,435,25,416,15,10,10,8,0,31,28,28703.182697768632,10493.821454143861,0.3854973000125028
45,B,11,11,1,8426.948,6552.29179848336,427,411,16,389,9,7,11,10,0,28,26,29099.740346538532,8688.28135412173,0.46061680000275373
45,C,11,11,1,8091.761,5977.611784176529,404,384,20,363,11,9,11,10,0,30,29,28118.804235218995,9770.745314336355,0.4774692000064533
46,B,10,10,1,9198.612,6552.878914781186,436,409,27,389,16,11,10,9,0,28,36,32763.059116849665,12288.664542943727,0.5333769999851938
46,C,10,10,1,9945.768,6328.526432326396,526,450,76,431,64,12,10,10,0,29,50,33813.841508404956,15666.209346772986,0.5005028000159655
47,B,15,15,1,9433.052,6500.846816678483,448,392,56,363,40,16,15,12,0,30,40,33435.262369718286,12761.028286325867,0.7060976999928243
47,C,15,15,1,8257.933,5680.5264323263955,384,342,42,313,28,14,15,15,0,29,35,29459.66355921583,11312.031397583849,0.5069068000011612
48,B,14,14,1,7591.219,5885.742232127416,305,293,12,265,4,8,14,11,0,30,23,28481.095784290865,7912.384623653776,0.3733176999958232
48,C,14,14,1,9518.757,5757.0773627258595,424,353,71,326,56,15,14,12,0,31,54,34618.78725054002,16468.400436910746,0.583734399988316
49,B,16,16,1,9117.035,5730.553318573218,376,328,48,298,33,15,16,15,0,26,49,34040.1769735524,15247.410380686313,0.7745983000204433
49,C,16,16,1,8483.779,5215.763262621534,366,303,63,273,47,16,16,13,0,29,55,31123.893270589615,14205.076957481946,0.7739776000089478
50,B,12,12,1,8978.095,6493.783184746648,418,401,17,377,6,11,12,11,0,28,28,32100.474704654313,11681.55878092106,0.2966604999965057
50,C,12,12,1,9287.915,5731.103053264542,378,345,33,322,18,15,12,11,0,30,35,34884.573103955,16599.057837632292,0.2471736999868881
51,B,15,15,1,8929.652,6230.25821747296,376,353,23,323,7,16,15,13,0,29,36,33048.26024403983,12531.969156675032,0.6176036999968346
51,C,15,15,1,9194.64,5981.3743146106945,452,388,64,359,52,12,15,12,0,32,48,32153.198386955537,13956.326813902084,0.7724832000094466
52,B,11,11,1,8033.55,6218.5079600788995,353,349,4,327,0,4,11,8,0,30,12,29312.749297479775,8760.209497085276,0.07725760000175796
52,C,11,11,1,8202.51,6358.526432326396,490,455,35,435,25,10,11,11,0,29,27,26087.550064904364,7939.917903272389,0.32833219997701235
53,B,11,11,1,8834.485,6427.097417739711,411,388,23,366,14,9,11,10,0,28,33,31647.422907048076,11171.935818349513,0.48625299998093396
53,C,11,11,1,8341.282,6262.769246558996,450,437,13,416,4,9,11,10,0,30,23,27956.40770981296,9772.561477017993,0.2890390000247862
54,B,13,13,1,8921.695,6271.512292320823,386,350,36,324,23,13,13,10,0,30,46,32843.47255156075,12055.911089956617,0.5362943999934942
54,C,13,13,1,9308.728,5646.06922724673,394,334,60,309,43,17,13,12,0,30,51,34538.642229710276,16348.296093476622,0.5783366999821737
55,B,15,15,1,8257.065,5949.661125659709,317,304,13,274,3,10,15,12,0,30,25,31425.324828974903,10867.019200676365,0.39724439999554306
55,C,15,15,1,9429.168,5986.526432326396,418,393,25,364,5,20,15,15,0,29,40,34285.84098020756,16138.208818575584,0.6249535999959335
56,B,10,10,1,9116.851,6597.646598136134,436,417,19,398,9,10,10,9,0,28,28,32324.256674109634,11866.023683428952,0.34235789999365807
56,C,10,10,1,8311.025,6142.526432326396,441,419,22,400,11,11,10,10,0,29,28,28120.1231638468,9972.491002214825,0.366286400007084
57,B,11,11,1,8470.87,6596.518233429625,424,416,8,394,2,6,11,10,0,28,18,29379.350932044246,8896.759764896122,0.2518405999871902
57,C,11,11,1,8798.022,6120.040749599275,432,408,24,387,13,11,11,10,0,30,34,30830.108304981484,12489.904556985117,0.46768810000503436
58,B,12,12,1,8216.608,6631.6045249987055,435,423,12,399,3,9,12,11,0,28,23,27758.04208321106,7310.019458217537,0.32514120000996627
58,C,12,12,1,8351.769,6226.812118337003,443,432,11,409,1,10,12,11,0,30,21,28183.8441083494,10029.783516664393,0.23165060000610538
59,B,11,11,1,8554.086,6090.872699416612,351,334,17,312,7,10,11,10,0,28,27,32015.43032723747,11601.066830154414,0.4176189000136219
59,C,11,11,1,9955.09,6093.52647711781,505,410,95,390,82,13,11,10,0,30,57,34470.45192788548,16322.819542296429,0.6177004000055604
60,B,10,10,1,8737.883,6608.642641294416,422,409,13,390,4,9,10,7,0,30,17,30824.4164312604,10121.203224788314,0.23182670000824146
60,C,10,10,1,9551.878,6459.1967865962,542,470,72,453,64,8,10,9,0,30,34,31264.387914610463,13088.40398162948,0.4125767000077758
61,B,15,15,1,8893.996,6232.082600220232,363,336,27,306,17,10,15,9,0,33,36,33299.98004461242,12364.567043511273,0.5301597000216134
61,C,15,15,1,9052.157,5893.059453725425,454,370,84,342,71,13,15,13,0,31,53,31415.785908171438,13095.488639544306,0.7829425999952946
62,B,13,13,1,8471.015,6162.5199120538755,356,342,14,316,5,9,13,11,0,29,25,31380.07426116371,10872.474700894332,0.34042190000764094
62,C,13,13,1,8871.551,6063.595251395848,461,405,56,380,45,11,13,12,0,30,45,30307.755260949365,12159.779003970123,0.7568926999811083
63,B,11,11,1,7974.265,6417.0867185596835,384,370,14,348,5,9,11,7,0,31,21,28121.32494125433,7230.891348455912,0.34234400000423193
63,C,11,11,1,8083.493,6179.290311016778,433,419,14,397,5,9,11,9,0,31,23,27192.46429650324,8911.012741419358,0.33547120000002906
64,B,16,16,1,8516.233,6020.5689857187135,361,340,21,309,10,11,16,12,0,30,32,31416.163345391884,11608.31841679832,0.37715790001675487
64,C,16,16,1,8858.126,4921.208481566142,434,326,108,298,93,15,16,14,0,25,59,30995.631511322707,16214.589103491979,0.863423699978739
65,B,10,10,1,8225.684,6726.470031650621,443,436,7,416,2,5,10,7,0,30,14,27603.4177915268,7121.067633273697,0.13791829999536276
65,C,10,10,1,9104.551,6352.526432326396,507,454,53,436,43,10,10,10,0,29,45,30242.754296255684,12095.122134623716,0.555265100003453
66,B,14,14,1,8238.794,5898.744763193433,322,293,29,265,17,12,14,11,0,30,40,31283.970395361273,10650.246579394112,0.640683400008129
66,C,14,14,1,8699.45,5891.464013197807,402,375,27,347,13,14,14,13,0,30,40,31167.25015988586,12979.930093896819,0.5217670000274666
67,B,11,11,1,9309.501,6598.919544533138,434,415,19,393,8,11,11,9,0,29,28,33317.503097977395,12817.90537531171,0.3323322999931406
67,C,11,11,1,8903.433,6322.526432326396,484,449,35,429,25,10,11,11,0,29,32,29827.164485513313,11679.532323881338,0.36652469998807646
68,B,14,14,1,8798.635,6003.660569083322,339,316,23,288,11,12,14,12,0,29,35,33543.17433094674,13049.871485530137,0.5884543000138365
68,C,14,14,1,9261.886,6076.526432326396,440,408,32,381,19,13,14,14,0,29,37,32839.429570148954,14691.797408516984,0.46892250000382774
69,B,15,15,1,9399.33,6168.432365625786,387,344,43,315,29,14,15,13,0,29,48,35136.64841039733,14659.486582268393,0.6700960999878589
69,C,15,15,1,10102.67,5956.526432326396,499,388,111,361,92,19,15,15,0,29,64,35288.350666417835,17140.718504785866,0.9272000000055414
70,B,14,14,1,8489.392,6215.543341401833,370,349,21,321,10,11,14,11,0,30,32,31056.958787713866,10519.242080704706,0.457431099988753
70,C,14,14,1,8426.442,5872.526432326396,394,374,20,346,6,14,14,14,0,29,34,30007.208397709655,11859.576236077686,0.4549962000164669
