case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
77,B,16,16,1,9055.195,4952.617348884779,496,322,174,297,161,13,16,14,0,22,49,30090.9770290275,15032.890284603604,0.5985260999877937
77,C,16,16,1,14403.489,6770.823485558102,1078,521,557,499,537,20,16,15,0,30,97,39302.44274075463,21098.325312964087,0.9354049999965355
78,B,16,16,1,9777.513,6152.708568623274,456,366,90,336,81,9,16,14,0,28,52,34912.56259726306,15174.019754146675,0.7383648999966681
78,C,16,16,1,12374.195,5827.820259681752,744,420,324,394,304,19,16,15,0,27,97,39220.9747847739,22701.873486365108,0.9793785000219941
79,B,16,16,1,10434.002,5797.034883473414,602,361,241,335,233,8,16,12,0,28,70,33785.00777671359,15724.833359346501,0.6019024999986868
79,C,16,16,1,13631.986,6698.252854627609,916,507,409,485,392,17,16,14,0,31,82,40289.92797978583,22053.6637066478,0.6529387999908067
80,B,16,16,1,8639.507,5702.283500500374,376,313,63,282,55,8,16,13,0,28,43,31632.536880510404,12581.11937800855,0.4618833999847993
80,C,16,16,1,11048.315,6312.788953121818,557,443,114,414,95,19,16,14,0,31,64,38226.57590518187,19997.631139572783,0.602626700012479
81,B,16,16,1,10653.205,6058.578068491092,553,384,169,357,162,7,16,15,0,26,51,36336.02577141162,17583.135428956153,0.5766942999907769
81,C,16,16,1,12899.748,5947.517154864727,838,463,375,442,357,18,16,14,0,27,79,39013.73933289638,23211.15355857277,0.606032999989111
82,B,16,16,1,6712.531,4533.024593764285,269,254,15,223,7,8,16,15,0,21,30,25142.653682398217,10117.530713576793,0.452546499989694
82,C,16,16,1,9583.874,5846.551058281917,512,428,84,400,66,18,16,16,0,26,58,32249.369719726637,15851.614428317056,0.6051060000027064
83,B,16,16,1,10029.215,5917.0958069361595,503,351,152,323,145,7,16,13,0,28,57,34701.07338892174,15715.594354240937,0.5415773999993689
83,C,16,16,1,15559.168,6830.845724105983,1159,531,628,510,611,17,16,13,0,32,113,42765.84223408025,24611.613613550337,1.1806108999880962
84,B,16,16,1,8942.447,5726.3909505929705,406,340,66,311,56,10,16,14,0,26,44,32202.236408384142,13815.28165541928,0.41378410000470467
84,C,16,16,1,14377.127,6318.174674652821,1008,476,532,454,514,18,16,16,0,28,107,41265.635185137835,23949.761811873737,1.0695538999862038
85,B,16,16,1,8884.046,5620.718338207767,416,331,85,302,80,5,16,12,0,28,52,31650.23047971572,13571.63878867687,0.3898867999960203
85,C,16,16,1,13145.258,6189.07935728988,893,483,410,461,392,18,16,14,0,28,90,38606.28801544477,22195.891228995373,0.7380257000040729
86,B,16,16,1,9175.723,5719.127756676758,402,346,56,316,46,10,16,12,0,28,52,33543.61452164494,15422.975738261131,0.6544116000004578
86,C,16,16,1,12977.387,6526.526432326396,780,483,297,459,277,20,16,16,0,29,87,41131.93670086059,22984.304539228597,1.0521691000030842
