case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
13,C3FDirect,16,16,16,11262.127,637,16,1,29,5120.025142045495,7373.126926688161,2976.0251420454956,4397.101784642667,3185.0,624.0,80.0,0,0,C,554,240,0.8170458000095095
13,B,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,,,,,0.4984387999866158
13,C,16,16,16,13164.909,947,16,1,29,5635.488691792594,7417.909406193237,2967.488691792594,4450.420714400647,4735.0,932.0,80.0,0,,,,,0.6343460999778472
14,Cplus3F,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,0,0,0.31868880000547506
14,C3FDirect,16,16,16,10940.575,605,16,1,29,5895.441496930744,7253.575464114195,3541.4414969307427,3712.1339671834535,3025.0,582.0,80.0,0,0,C,312,214,0.6069388999894727
14,B,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,,,,,0.4360856999992393
14,C,16,16,16,11691.554,744,16,1,29,6282.776142895715,7166.554100295939,3464.7761428957133,3701.777957400228,3720.0,725.0,80.0,0,,,,,0.6734507999790367
15,Cplus3F,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,0,B,0,0,0.3942422000109218
15,C3FDirect,16,16,16,11447.675,630,16,1,29,6255.848502067279,7622.674793938657,3631.8485020672756,3990.8262918713826,3150.0,595.0,80.0,0,0,C,375,177,0.6702142000140157
15,B,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,,,,,0.3798643999907654
15,C,16,16,16,12564.987,866,16,1,29,6754.246801836085,7305.9873767520085,3630.246801836084,3675.740574915926,4330.0,849.0,80.0,0,,,,,0.5883917000028305
16,Cplus3F,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,0,B,0,0,0.6190857000183314
16,C3FDirect,16,16,16,11395.555,567,16,1,29,5687.185909510162,7942.554612860737,3340.1859095101627,4602.368703350577,2835.0,538.0,80.0,0,0,C,501,155,0.7931256000010762
16,B,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,,,,,0.5263416999951005
16,C,16,16,16,10882.471,594,16,1,29,5945.563714925607,7253.471386572186,3301.563714925607,3951.9076716465815,2970.0,579.0,80.0,0,,,,,0.680088799999794
17,Cplus3F,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,0,B,0,0,0.44153509999159724
