case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
26,C3FDirect,16,16,16,6315.684,265,16,1,29,4276.424660801859,4653.683611494905,2865.42466080186,1788.258950693045,1325.0,257.0,80.0,0,2,C,176,83,0.12039389999699779
26,B,16,16,16,9030.446,404,16,1,27,5171.439082767049,6539.446247438096,3325.4390827670513,3214.007164671045,2020.0,391.0,80.0,0,,,,,0.42454059998271987
26,C,16,16,16,6725.07,258,16,1,29,4061.9562588212175,5109.069947756925,2761.9562588212184,2347.113688935707,1290.0,246.0,80.0,0,,,,,0.48062499999650754
27,Cplus3F,10,10,10,7938.131,409,10,1,29,5962.5264323263955,5449.130555423602,3629.5264323263946,1819.6041230972103,2045.0,394.0,50.0,0,2,C,120,65,0.3066294000018388
27,C3FDirect,10,10,10,7938.131,409,10,1,29,5962.5264323263955,5449.130555423602,3629.5264323263946,1819.6041230972103,2045.0,394.0,50.0,0,2,C,120,65,0.26993059998494573
27,B,10,10,10,8040.867,401,10,1,27,6465.858303820417,5589.86737105796,4116.858303820419,1473.0090672375406,2005.0,396.0,50.0,0,,,,,0.23969000001670793
27,C,10,10,10,7873.523,396,10,1,29,5914.5264323263955,5458.523273609702,3629.5264323263946,1828.996841283311,1980.0,385.0,50.0,0,,,,,0.3152980999730062
28,Cplus3F,15,15,15,7066.129,281,15,1,29,5359.870791806252,5309.129341152377,3680.870791806251,1628.258549346125,1405.0,277.0,75.0,0,5,C,106,74,0.060519899998325855
28,C3FDirect,15,15,15,7066.129,281,15,1,29,5359.870791806252,5309.129341152377,3680.870791806251,1628.258549346125,1405.0,277.0,75.0,0,5,C,106,74,0.055449899984523654
28,B,15,15,15,7971.197,280,15,1,27,5689.7460426350735,6228.1971195903525,4115.7460426350735,2112.4510769552803,1400.0,268.0,75.0,0,,,,,0.3927504000021145
28,C,15,15,15,7845.343,312,15,1,29,5491.339672623344,5901.342860584549,3671.339672623344,2230.003187961206,1560.0,309.0,75.0,0,,,,,0.28377190002356656
29,Cplus3F,15,15,15,7253.129,326,15,1,29,5520.2120372859235,5227.128819119603,3682.212037285923,1544.9167818336778,1630.0,321.0,75.0,0,1,C,89,91,0.20489930000621825
