case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
13,B,15,15,15,8117.549,300,15,1,27,5859.213957887523,6247.548852742899,4099.213957887523,2148.3348948553767,1500.0,295.0,75.0,0,,,,,0.1599343999987468
13,C,15,15,15,9270.024,466,15,1,29,5962.5264323263955,6416.023707663258,3629.5264323263946,2786.4972753368647,2330.0,449.0,75.0,0,,,,,0.4400980999926105
14,Cplus3F,15,15,15,8807.915,396,15,1,29,5801.218606017057,6391.915414626702,3746.2186060170548,2645.6968086096504,1980.0,361.0,75.0,0,1,C,137,81,0.31448790000285953
14,C3FDirect,15,15,15,8807.915,396,15,1,29,5801.218606017057,6391.915414626702,3746.2186060170548,2645.6968086096504,1980.0,361.0,75.0,0,1,C,137,81,0.337952799978666
14,B,15,15,15,8950.912,345,15,1,27,5953.409536206341,6830.912089556939,4090.4095362063417,2740.5025533506,1725.0,320.0,75.0,0,,,,,0.6161179000046104
14,C,15,15,15,10594.571,565,15,1,29,6022.526432326396,7140.570665254575,3629.5264323263946,3511.044232928183,2825.0,554.0,75.0,0,,,,,0.8260040000022855
15,Cplus3F,13,13,13,7850.278,379,13,1,29,5754.680717718328,5541.277592096144,3667.6807177183273,1873.5968743778178,1895.0,349.0,65.0,0,3,C,82,70,0.25652279998757876
15,C3FDirect,13,13,13,7850.278,379,13,1,29,5754.680717718328,5541.277592096144,3667.6807177183273,1873.5968743778178,1895.0,349.0,65.0,0,3,C,82,70,0.2135015000239946
15,B,13,13,13,8643.157,390,13,1,27,6369.231850791807,6241.156724002289,4097.231850791808,2143.9248732104807,1950.0,387.0,65.0,0,,,,,0.24945810000644997
15,C,13,13,13,9793.916,475,13,1,29,6070.526432326396,6914.915591040287,3629.5264323263946,3285.3891587138914,2375.0,439.0,65.0,0,,,,,0.45426229998702183
