case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
12,C3FDirect,12,12,12,7189.631,324,12,1,29,5575.333430735382,5194.630705440057,3683.3334307353816,1511.2972747046758,1620.0,315.0,60.0,0,5,C,40,40,0.19171169999754056
12,B,12,12,12,8595.736,357,12,1,27,6078.871979393181,6406.735631822168,4081.871979393182,2324.8636524289873,1785.0,344.0,60.0,0,,,,,0.4332486000203062
12,C,12,12,12,7372.615,322,12,1,29,5540.7593643008795,5388.615116852155,3677.7593643008786,1710.8557525512767,1610.0,314.0,60.0,0,,,,,0.24058620000141673
13,Cplus3F,16,16,16,4717.915,180,16,1,29,1898.3182464586819,3569.915125322352,1162.3182464586819,2407.596878863669,900.0,168.0,80.0,0,8,C,114,78,0.42089119998854585
13,C3FDirect,16,16,16,4717.915,180,16,1,29,1898.3182464586819,3569.915125322352,1162.3182464586819,2407.596878863669,900.0,168.0,80.0,0,8,C,114,78,0.39895079997950234
13,B,16,16,16,7787.1,267,16,1,27,4717.921273985471,6116.100314639947,3315.9212739854715,2800.179040654476,1335.0,256.0,80.0,0,,,,,0.3904630999895744
13,C,16,16,16,4702.019,172,16,1,29,1828.8865399969663,3599.018966639032,1157.8865399969663,2441.132426642065,860.0,163.0,80.0,0,,,,,0.5251167000096757
14,Cplus3F,10,10,10,7281.435,370,10,1,29,5852.8865072512635,5013.4351291256835,3659.886507251263,1353.5486218744213,1850.0,368.0,50.0,0,2,C,51,28,0.09497780000674538
14,C3FDirect,10,10,10,7281.435,370,10,1,29,5852.8865072512635,5013.4351291256835,3659.886507251263,1353.5486218744213,1850.0,368.0,50.0,0,2,C,51,28,0.12050429999362677
14,B,10,10,10,8892.127,411,10,1,27,6426.8719793931805,6388.127119737795,4081.871979393182,2306.2551403446137,2055.0,399.0,50.0,0,,,,,0.21112900000298396
14,C,10,10,10,7403.664,373,10,1,29,5836.162277188716,5120.664193283984,3661.162277188715,1459.5019160952695,1865.0,368.0,50.0,0,,,,,0.18633769999723881
15,Cplus3F,11,11,11,7399.134,374,11,1,29,5788.5264323263955,5107.134434337919,3629.5264323263946,1477.6080020115228,1870.0,367.0,55.0,0,3,C,33,38,0.357560000004014
15,C3FDirect,11,11,11,7399.134,374,11,1,29,5788.5264323263955,5107.134434337919,3629.5264323263946,1477.6080020115228,1870.0,367.0,55.0,0,3,C,33,38,0.37135119998129085
15,B,11,11,11,8396.922,403,11,1,27,6330.8719793931805,5941.921576007444,4081.871979393182,1860.0495966142646,2015.0,385.0,55.0,0,,,,,0.44280109999817796
15,C,11,11,11,7559.6,377,11,1,29,5776.5264323263955,5253.599741697344,3629.5264323263946,1624.07330937095,1885.0,366.0,55.0,0,,,,,0.42764089998672716
16,Cplus3F,14,14,14,6997.896,284,14,1,29,5410.424366087331,5227.895980061229,3729.42436608733,1498.4716139739007,1420.0,280.0,70.0,0,5,C,67,49,0.2035459000035189
16,C3FDirect,14,14,14,6997.896,284,14,1,29,5410.424366087331,5227.895980061229,3729.42436608733,1498.4716139739007,1420.0,280.0,70.0,0,5,C,67,49,0.17016339997644536
16,B,14,14,14,8807.265,358,14,1,27,6104.7087296831205,6601.264895105108,4084.708729683121,2516.5561654219878,1790.0,346.0,70.0,0,,,,,0.42631290000281297
