case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
18,C3FDirect,16,16,16,8221.394,417,16,1,29,3822.057124286259,5652.393543083767,2469.0571242862598,3183.3364187975094,2085.0,404.0,80.0,0,0,C,348,181,0.697401199984597
18,B,16,16,16,7936.313,365,16,1,27,5728.772466527231,5680.312580553336,3616.7724665272312,2063.5401140261047,1825.0,351.0,80.0,0,,,,,0.14841039999737404
18,C,16,16,16,10285.727,694,16,1,29,4515.1408730570465,6070.727391970085,2440.140873057046,3630.586518913049,3470.0,665.0,80.0,0,,,,,0.8343935000011697
19,Cplus3F,16,16,16,9914.268,582,16,1,27,5060.87653447887,6355.268025663523,3090.876534478871,3264.3914911846523,2910.0,569.0,80.0,0,0,B,0,0,0.6510231999855023
19,C3FDirect,16,16,16,9263.11,495,16,1,29,6231.537507031199,6228.110330343862,3679.5375070311975,2548.5728233126665,2475.0,480.0,80.0,0,0,C,218,119,0.23701319997780956
19,B,16,16,16,9914.268,582,16,1,27,5060.87653447887,6355.268025663523,3090.876534478871,3264.3914911846523,2910.0,569.0,80.0,0,,,,,0.6431633000029251
19,C,16,16,16,9411.677,522,16,1,29,6526.5264323263955,6213.677444819647,3629.5264323263946,2584.1510124932524,2610.0,508.0,80.0,0,,,,,0.35776079999050125
20,Cplus3F,16,16,16,9114.626,451,16,1,27,6187.881995583458,6335.626213429471,3990.881995583459,2344.7442178460137,2255.0,444.0,80.0,0,0,B,0,0,0.37506210000719875
20,C3FDirect,16,16,16,9723.475,522,16,1,29,6129.667905543299,6530.474741952336,3609.667905543298,2920.8068364090386,2610.0,503.0,80.0,0,0,C,223,129,0.4879894999903627
20,B,16,16,16,9114.626,451,16,1,27,6187.881995583458,6335.626213429471,3990.881995583459,2344.7442178460137,2255.0,444.0,80.0,0,,,,,0.4210560999927111
20,C,16,16,16,10417.874,567,16,1,29,6144.233134798832,6956.873791236858,3464.233134798831,3492.640656438029,2835.0,546.0,80.0,0,,,,,0.835673699999461
21,Cplus3F,16,16,16,8996.516,395,16,1,27,5828.054896520786,6580.5159327366555,3762.054896520788,2818.461036215872,1975.0,361.0,80.0,0,0,B,0,0,0.3935391000122763
21,C3FDirect,16,16,16,8936.976,414,16,1,29,4857.738604449444,6392.976441861554,3050.7386044494438,3342.2378374121126,2070.0,394.0,80.0,0,0,C,379,132,0.5887219000142068
21,B,16,16,16,8996.516,395,16,1,27,5828.054896520786,6580.5159327366555,3762.054896520788,2818.461036215872,1975.0,361.0,80.0,0,,,,,0.49578569998266175
21,C,16,16,16,9689.46,478,16,1,29,5221.567811376488,6770.460429598857,3021.5678113764866,3748.8926182223718,2390.0,449.0,80.0,0,,,,,0.7278775000013411
22,Cplus3F,16,16,16,6718.393,259,16,1,27,4517.212233000946,5093.393184580563,3045.212233000947,2048.1809515796135,1295.0,250.0,80.0,0,0,B,0,0,0.3302493999945
22,C3FDirect,16,16,16,8335.894,415,16,1,29,5213.409847254958,5791.893936007429,3142.409847254958,2649.4840887524724,2075.0,389.0,80.0,0,0,C,170,104,0.48410839997814037
22,B,16,16,16,6718.393,259,16,1,27,4517.212233000946,5093.393184580563,3045.212233000947,2048.1809515796135,1295.0,250.0,80.0,0,,,,,0.3703096000244841
22,C,16,16,16,8862.315,490,16,1,29,5607.392099639336,5860.314683887586,3138.3920996393367,2721.922584248251,2450.0,472.0,80.0,0,,,,,0.5245807999745011
23,Cplus3F,16,16,16,8072.156,370,16,1,27,5138.3733904815845,5783.156461909406,3259.3733904815854,2523.783071427821,1850.0,359.0,80.0,0,0,B,0,0,0.3207000000111293
23,C3FDirect,16,16,16,8281.392,360,16,1,29,5200.74658618926,6059.392412022979,3309.7465861892592,2749.645825833721,1800.0,342.0,80.0,0,0,C,216,87,0.30959469999652356
23,B,16,16,16,8072.156,370,16,1,27,5138.3733904815845,5783.156461909406,3259.3733904815854,2523.783071427821,1850.0,359.0,80.0,0,,,,,0.2932695000199601
23,C,16,16,16,8238.884,446,16,1,29,5708.551058281917,5495.883563908643,3279.5510582819156,2216.3325056267263,2230.0,433.0,80.0,0,,,,,0.3948763000080362
24,Cplus3F,16,16,16,8983.425,450,16,1,27,5678.965940878942,6220.425371955473,3566.9659408789435,2653.4594310765283,2250.0,433.0,80.0,0,0,B,0,0,0.252173099986976
24,C3FDirect,16,16,16,8295.829,381,16,1,29,4824.701815039981,5944.828902779096,2968.7018150399813,2976.1270877391144,1905.0,366.0,80.0,0,0,C,226,106,0.2706950999854598
24,B,16,16,16,8983.425,450,16,1,27,5678.965940878942,6220.425371955473,3566.9659408789435,2653.4594310765283,2250.0,433.0,80.0,0,,,,,0.2799226999923121
24,C,16,16,16,9285.99,490,16,1,29,5139.369788528069,6272.990063103856,2944.3697885280676,3328.620274575786,2450.0,483.0,80.0,0,,,,,0.28130410000449046
25,Cplus3F,16,16,16,8505.408,375,16,1,27,6149.258639826139,6188.408136269883,3995.258639826141,2193.149496443741,1875.0,362.0,80.0,0,0,B,0,0,0.3250754000036977
25,C3FDirect,16,16,16,6795.708,298,16,1,29,5057.425374798197,4933.708100205615,3314.4253747981975,1619.2827254074168,1490.0,292.0,80.0,0,0,C,159,75,0.116924600006314
25,B,16,16,16,8505.408,375,16,1,27,6149.258639826139,6188.408136269883,3995.258639826141,2193.149496443741,1875.0,362.0,80.0,0,,,,,0.33779849999700673
25,C,16,16,16,8289.459,429,16,1,29,5706.026945789359,5642.45865126115,3285.0269457893583,2357.431705471794,2145.0,422.0,80.0,0,,,,,0.28433290001703426
26,Cplus3F,16,16,16,8188.092,426,16,1,27,5492.868136068418,5560.09162846526,3418.86813606842,2141.223492396839,2130.0,418.0,80.0,0,0,B,0,0,0.3276301999867428
26,C3FDirect,16,16,16,7201.982,337,16,1,29,4847.290254541764,5105.981782416542,2997.2902545417637,2108.6915278747765,1685.0,331.0,80.0,0,0,C,164,74,0.15449209997314028
26,B,16,16,16,8188.092,426,16,1,27,5492.868136068418,5560.09162846526,3418.86813606842,2141.223492396839,2130.0,418.0,80.0,0,,,,,0.2858703000238165
26,C,16,16,16,8393.418,443,16,1,29,5321.434427645102,5666.418253569453,2972.434427645101,2693.983825924355,2215.0,432.0,80.0,0,,,,,0.30623109999578446
27,Cplus3F,16,16,16,8618.374,381,16,1,27,5829.370204490505,6274.374469919823,3749.3702044905067,2525.004265429317,1905.0,359.0,80.0,0,0,B,0,0,0.4791576999996323
