案例,策略,二测接收,移动时间(s),保证接收比例,方向可见性评分,漏检风险,S2_x(m),S2_y(m)
62,Q4方向风险回补,0,120.00000000271113,1.0,0.8333333333333334,0.16666666666666663,-214.784548,-178.8092554
63,Q2基线（忽略朝向）,1,240.00000000413974,1.0,1.0,0.0,373.9355325,-870.4389597
63,Q4方向风险回补,1,119.9999999962074,1.0,0.7916666666666666,0.20833333333333337,-188.0322338,-660.2194799
64,Q2基线（忽略朝向）,0,160.00000001146026,1.0,1.0,0.0,-992.0874011,-1212.4917641
64,Q4方向风险回补,1,119.99999999887055,1.0,0.75,0.25,-1028.1111411,-981.6523236
65,Q2基线（忽略朝向）,0,240.0000000050511,1.0,1.0,0.0,9.2598594,479.2601713
65,Q4方向风险回补,0,120.00000000690493,1.0,0.7916666666666666,0.20833333333333337,-962.5664927,111.084206
66,Q2基线（忽略朝向）,1,159.9999999991485,1.0,1.0,0.0,-1466.5805724,-805.6856523
66,Q4方向风险回补,1,79.99999999226152,1.0,0.9166666666666666,0.08333333333333337,-705.4249037,-847.5085669
67,Q2基线（忽略朝向）,1,240.00000000870236,1.0,1.0,0.0,-1244.3238048,643.4550636
67,Q4方向风险回补,1,120.00000000435118,1.0,0.8125,0.1875,-997.1619024,96.7275318
68,Q2基线（忽略朝向）,0,239.9999999868772,1.0,1.0,0.0,103.8662711,393.1562079
68,Q4方向风险回补,1,160.00000000150095,1.0,0.7083333333333335,0.2916666666666665,-27.1019125,-792.663618
69,Q2基线（忽略朝向）,1,239.99999999752404,1.0,1.0,0.0,-60.1344564,531.8785728
69,Q4方向风险回补,1,119.99999999979215,1.0,0.8194444444444443,0.1805555555555557,-1002.6995078,94.1901862
70,Q2基线（忽略朝向）,1,239.9999999941515,1.0,1.0,0.0,424.453054,-696.2925575
70,Q4方向风险回补,0,120.00000000239163,1.0,0.763888888888889,0.23611111111111105,-349.7389307,-3.0200492
71,Q2基线（忽略朝向）,1,160.00000000306378,1.0,1.0,0.0,-1378.5995072,-944.8359926
71,Q4方向风险回补,1,80.00000000153189,1.0,0.9166666666666666,0.08333333333333337,-502.5820037,-764.2997536
72,Q2基线（忽略朝向）,0,240.00000000346807,1.0,1.0,0.0,449.9817156,-456.6243692
72,Q4方向风险回补,0,120.00000000173404,1.0,0.8194444444444443,0.1805555555555557,-150.0091422,-453.3121846
73,Q2基线（忽略朝向）,0,240.00000000509573,1.0,1.0,0.0,259.2490874,-1099.1658337
73,Q4方向风险回补,0,120.00000000741932,1.0,0.8333333333333334,0.16666666666666663,-216.5906765,-175.2737842
74,Q2基线（忽略朝向）,0,200.00000000048126,1.0,1.0,0.0,-78.5542564,-1191.0537183
74,Q4方向风险回补,1,80.00000000344859,1.0,0.8333333333333334,0.16666666666666663,-936.6858965,-803.7631638
75,Q2基线（忽略朝向）,1,240.000000008732,1.0,1.0,0.0,-43.6345873,520.0762361
75,Q4方向风险回补,1,119.99999999039566,1.0,0.8055555555555557,0.1944444444444443,-396.8172937,35.038118
76,Q2基线（忽略朝向）,1,160.0000000009895,1.0,1.0,0.0,-1450.905414,-835.6573617
76,Q4方向风险回补,1,120.0000000031525,1.0,0.75,0.25,-1039.2430213,75.6790605
77,Q2基线（忽略朝向）,1,239.99999999362558,1.0,1.0,0.0,449.3572916,-489.2694157
77,Q4方向风险回补,1,119.99999999648556,1.0,0.875,0.125,-150.3213542,-469.6347078
78,Q2基线（忽略朝向）,0,240.00000000269932,1.0,1.0,0.0,364.840078,-6.0049544
78,Q4方向风险回补,1,120.00000000134966,1.0,0.7916666666666666,0.20833333333333337,-192.579961,-228.0024772
79,Q2基线（忽略朝向）,1,239.99999999350615,1.0,1.0,0.0,-219.9797209,-1526.6050825
79,Q4方向风险回补,1,119.99999999272913,1.0,0.8333333333333334,0.16666666666666663,-151.3112546,-489.6457575
