case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
375,C,11,11,11,7677.997,378,11,1,29,5776.5264323263955,5363.99737719163,3629.5264323263946,1734.4709448652354,1890.0,369.0,55.0,0,,,,,0.41114959999686107
376,Cplus,14,14,14,7708.12,291,14,1,29,5248.765907120374,5908.119821253981,3666.7659071203734,2241.3539141336096,1455.0,275.0,70.0,0,3,C,,,0.42911180001101457
376,Cplus3A,14,14,14,7655.291,363,14,1,29,5805.142290000801,5414.290859259831,3708.142290000799,1706.1485692590325,1815.0,356.0,70.0,0,3,C,,,0.19619990000501275
376,Cplus3F,14,14,14,7273.291,299,14,1,29,5439.1422900008,5414.290859259831,3708.142290000799,1706.1485692590325,1495.0,294.0,70.0,0,3,C,64,43,0.2107595000125002
376,B,14,14,14,8159.075,330,14,1,27,5963.913137878609,6120.075483054119,4123.91313787861,1996.1623451755108,1650.0,319.0,70.0,0,,,,,0.4274276999931317
376,C,14,14,14,7708.12,291,14,1,29,5248.765907120374,5908.119821253981,3666.7659071203734,2241.3539141336096,1455.0,275.0,70.0,0,,,,,0.4555391000176314
377,Cplus,16,16,16,7131.936,246,16,1,29,3919.4926307306223,5588.936002816599,2606.4926307306223,2982.443372085976,1230.0,233.0,80.0,0,6,C,,,0.46392899999045767
377,Cplus3A,16,16,16,7669.686,353,16,1,29,4111.870893641678,5483.685535250823,2607.870893641679,2875.8146416091454,1765.0,341.0,80.0,0,6,C,,,0.7672165999829303
377,Cplus3F,16,16,16,7286.686,290,16,1,29,3913.870893641679,5483.685535250823,2607.870893641679,2875.8146416091454,1450.0,273.0,80.0,0,6,C,63,74,0.8194195000105537
377,B,16,16,16,8702.339,294,16,1,27,4709.140311493681,6879.339288174704,3168.140311493682,3711.1989766810198,1470.0,273.0,80.0,0,,,,,0.6722033999976702
377,C,16,16,16,7131.936,246,16,1,29,3919.4926307306223,5588.936002816599,2606.4926307306223,2982.443372085976,1230.0,233.0,80.0,0,,,,,0.4420920000120532
378,Cplus,14,14,14,7724.277,312,14,1,29,5421.479486973011,5792.277454542877,3653.4794869730113,2138.797967569866,1560.0,302.0,70.0,0,6,C,,,0.29439810002804734
378,Cplus3A,14,14,14,8096.691,413,14,1,29,6009.504103631869,5556.691123817196,3654.504103631868,1902.1870201853283,2065.0,405.0,70.0,0,6,C,,,0.12145460001192987
378,Cplus3F,14,14,14,7499.691,313,14,1,29,5427.504103631868,5556.691123817196,3654.504103631868,1902.1870201853283,1565.0,308.0,70.0,0,6,C,100,93,0.11456330001237802
378,B,14,14,14,9260.184,351,14,1,27,5868.871979393181,7124.183785729964,4081.871979393182,3042.311806336787,1755.0,311.0,70.0,0,,,,,0.6357620999915525
378,C,14,14,14,7724.277,312,14,1,29,5421.479486973011,5792.277454542877,3653.4794869730113,2138.797967569866,1560.0,302.0,70.0,0,,,,,0.30026630000793375
379,Cplus,11,11,11,7736.009,369,11,1,29,5758.5264323263955,5474.008980367131,3629.5264323263946,1844.4825480407376,1845.0,362.0,55.0,0,5,C,,,0.281391700002132
379,Cplus3A,11,11,11,7817.46,403,11,1,29,6075.578988177391,5346.460239534046,3677.57898817739,1668.881251356658,2015.0,401.0,55.0,0,5,C,,,0.09855619998415932
379,Cplus3F,11,11,11,7625.46,371,11,1,29,5883.57898817739,5346.460239534046,3677.57898817739,1668.881251356658,1855.0,369.0,55.0,0,5,C,32,56,0.0876882000011392
379,B,11,11,11,8415.014,373,11,1,27,6174.8719793931805,6138.014021804022,4081.871979393182,2056.142042410842,1865.0,357.0,55.0,0,,,,,0.4283380999986548
379,C,11,11,11,7736.009,369,11,1,29,5758.5264323263955,5474.008980367131,3629.5264323263946,1844.4825480407376,1845.0,362.0,55.0,0,,,,,0.30145999998785555
380,Cplus,15,15,15,7657.289,264,15,1,29,5097.590152042811,6010.2888761942695,3641.5901520428097,2368.6987241514607,1320.0,252.0,75.0,0,7,C,,,0.4017286000016611
380,Cplus3A,15,15,15,7487.356,346,15,1,29,5740.089510228465,5340.35558918903,3692.089510228465,1648.266078960565,1730.0,342.0,75.0,0,7,C,,,0.10656419998849742
380,Cplus3F,15,15,15,7034.356,270,15,1,29,5302.089510228465,5340.35558918903,3692.089510228465,1648.266078960565,1350.0,269.0,75.0,0,7,C,76,58,0.11340230001951568
380,B,15,15,15,9911.378,352,15,1,27,5940.871979393181,7750.377711427141,4081.871979393182,3668.505732033963,1760.0,326.0,75.0,0,,,,,0.7051451000152156
