case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
31,Cplus3A,11,11,11,9252.131,516,11,1,29,6290.800183374246,6127.131474030771,3655.8001833742446,2471.3312906565284,2580.0,490.0,55.0,0,2,C,,,0.3636812999902759
31,Cplus3F,11,11,11,8812.131,443,11,1,29,5966.800183374246,6127.131474030771,3655.8001833742446,2471.3312906565284,2215.0,415.0,55.0,0,2,C,73,73,0.3333445999887772
32,Cplus,14,14,14,9978.445,514,14,1,29,6052.526432326396,6841.444822446221,3629.5264323263946,3211.9183901198326,2570.0,497.0,70.0,0,1,C,,,0.851857999979984
32,Cplus3A,14,14,14,9490.789,546,14,1,29,6424.230103274596,6151.788627668778,3698.2301032745954,2453.558524394183,2730.0,539.0,70.0,0,1,C,,,0.26103630001307465
32,Cplus3F,14,14,14,8466.789,378,14,1,29,5764.230103274595,6151.788627668778,3698.2301032745954,2453.558524394183,1890.0,355.0,70.0,0,1,C,168,75,0.32537210002192296
33,Cplus,11,11,11,8265.149,410,11,1,29,6060.236450109597,5756.148891111629,3674.2364501095954,2081.912441002034,2050.0,404.0,55.0,0,1,C,,,0.1931754999968689
33,Cplus3A,11,11,11,8427.282,468,11,1,29,6436.4111104978565,5571.2816400533875,3686.411110497856,1884.8705295555299,2340.0,461.0,55.0,0,1,C,,,0.13091000000713393
33,Cplus3F,11,11,11,7962.282,390,11,1,29,5992.411110497857,5571.2816400533875,3686.411110497856,1884.8705295555299,1950.0,386.0,55.0,0,1,C,78,44,0.13381480000680313
34,Cplus,13,13,13,9405.14,466,13,1,29,5818.5264323263955,6550.139872211545,3629.5264323263946,2920.613439885151,2330.0,460.0,65.0,0,1,C,,,0.4956489999894984
34,Cplus3A,13,13,13,9078.91,500,13,1,29,6140.043263488053,6019.910490215035,3665.043263488051,2354.867226726983,2500.0,494.0,65.0,0,1,C,,,0.4107341000053566
