case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
9,ClearEarly28,11,11,11,10691.183,434,11,1,28,7553.450510367311,8038.182799939513,5278.450510367311,2759.7322895722023,2170.0,428.0,55.0,0,0.19579609998618253
10,ShiftB,13,13,13,10176.125,347,13,1,28,7187.525020504033,8044.124983021195,5245.525020504033,2798.599962517159,1735.0,332.0,65.0,0,0.33721860000514425
10,Grid26A,13,13,13,10637.192,368,13,1,26,6700.550422464556,8395.192410380136,4824.550422464554,3570.6419879155824,1840.0,337.0,65.0,0,0.3087171999795828
10,Grid26B,13,13,13,10301.669,360,13,1,26,6716.8212439445215,8089.669427216045,4840.8212439445215,3248.8481832715206,1800.0,347.0,65.0,0,0.3349023000046145
10,Grid26C,13,13,13,9396.572,296,13,1,26,6544.470169007132,7560.572149184972,4837.470169007132,2723.1019801778357,1480.0,291.0,65.0,0,0.2148841000162065
10,Insert28,13,13,13,10475.57,346,13,1,28,7305.092414696514,8346.569843134788,5405.092414696514,2941.477428438276,1730.0,334.0,65.0,0,1.5907945000217296
10,Insert26,13,13,13,10001.81,338,13,1,26,7030.181288735809,7917.810211351208,5090.181288735808,2827.6289226153986,1690.0,329.0,65.0,0,1.5055694000038784
10,ClearEarly28,13,13,13,10340.016,396,13,1,28,7600.466885323867,7903.01566894684,5271.466885323867,2631.548783622973,1980.0,392.0,65.0,0,0.12261090002721176
11,ShiftB,14,14,14,9502.796,297,14,1,28,6964.418463164068,7656.796378658027,5274.418463164068,2382.377915493957,1485.0,291.0,70.0,0,0.3258629000047222
11,Grid26A,14,14,14,10498.983,343,14,1,26,6687.604366725011,8387.982633189018,4841.60436672501,3546.378266464007,1715.0,326.0,70.0,0,0.2131703000050038
11,Grid26B,14,14,14,10514.954,312,14,1,26,6577.457968919034,8580.954034180948,4838.457968919035,3742.496065261915,1560.0,304.0,70.0,0,0.23957410000730306
11,Grid26C,14,14,14,10099.917,276,14,1,26,6378.487833704979,8379.917391076593,4831.487833704978,3548.429557371616,1380.0,270.0,70.0,0,0.2604964000056498
11,Insert28,14,14,14,10162.05,266,14,1,28,6965.4688549891325,8514.050099243554,5470.468854989133,3043.5812442544197,1330.0,248.0,70.0,0,1.4502801000198815
11,Insert26,14,14,14,10619.676,337,14,1,26,6940.702027507304,8535.676295686024,5026.702027507305,3508.974268178719,1685.0,329.0,70.0,0,1.4078120999911334
11,ClearEarly28,14,14,14,9572.162,365,14,1,28,7479.319721693186,7314.161858628922,5318.319721693186,1995.8421369357375,1825.0,363.0,70.0,0,0.021246799995424226
12,ShiftB,10,10,10,9583.376,386,10,1,28,7386.736514974659,7227.375570915239,5233.736514974659,1993.6390559405797,1930.0,376.0,50.0,0,0.20394810001016594
12,Grid26A,10,10,10,8679.8,374,10,1,26,7029.308679811238,6392.800092629599,4842.308679811237,1550.4914128183625,1870.0,367.0,50.0,0,0.18223659999785013
12,Grid26B,10,10,10,9063.021,378,10,1,26,7020.242717418691,6753.020605068069,4844.242717418692,1908.7778876493758,1890.0,370.0,50.0,0,0.23381900001550093
12,Grid26C,10,10,10,8825.565,361,10,1,26,6954.4878337049795,6611.5653519098305,4831.487833704978,1780.0775182048521,1805.0,359.0,50.0,0,0.1346518000063952
12,Insert28,10,10,10,9224.979,352,10,1,28,7634.801463973762,7067.979153088365,5530.801463973763,1537.1776891146021,1760.0,347.0,50.0,0,3.3125274000049103
12,Insert26,10,10,10,9578.799,378,10,1,26,7149.927501040585,7274.798895651679,4985.927501040586,2288.871394611093,1890.0,364.0,50.0,0,1.1636431999795604
12,ClearEarly28,10,10,10,9675.502,466,10,1,28,8023.015666321317,6834.502146872545,5291.0156663213165,1543.4864805512275,2330.0,461.0,50.0,0,0.030473199993139133
13,ShiftB,13,13,13,9931.695,321,13,1,28,7014.736514974659,7955.6954748129465,5233.736514974659,2721.958959838289,1605.0,306.0,65.0,0,0.4508283000031952
13,Grid26A,13,13,13,9986.671,358,13,1,26,6842.020195673325,7790.670603138027,4841.020195673325,2949.6504074647037,1790.0,341.0,65.0,0,0.3838654999854043
13,Grid26B,13,13,13,9910.501,344,13,1,26,6775.140646539021,7799.500722355426,4887.140646539022,2912.3600758164057,1720.0,326.0,65.0,0,0.4100199000095017
13,Grid26C,13,13,13,10140.312,301,13,1,26,6498.487833704979,8278.312378986186,4831.487833704978,3446.824545281206,1505.0,292.0,65.0,0,0.2660617000074126
13,Insert28,13,13,13,10491.859,312,13,1,28,7118.183861148527,8563.858999670007,5347.183861148526,3216.6751385214816,1560.0,303.0,65.0,0,1.124475699994946
13,Insert26,13,13,13,10208.171,350,13,1,26,7127.791544340187,8050.170690046623,5098.791544340188,2951.379145706435,1750.0,343.0,65.0,0,0.6292595000122674
13,ClearEarly28,13,13,13,10047.709,389,13,1,28,7446.891391944418,7663.709414984181,5241.891391944418,2421.818023039766,1945.0,374.0,65.0,0,0.2742881000158377
14,ShiftB,12,12,12,9296.878,325,12,1,28,7109.2317017681,7296.878234723937,5258.2317017681,2038.6465329558382,1625.0,315.0,60.0,0,0.23309059999883175
14,Grid26A,12,12,12,10890.395,373,12,1,26,6821.038645946024,8622.395276415109,4824.038645946023,3798.356630469092,1865.0,343.0,60.0,0,0.6642950999957975
14,Grid26B,12,12,12,10575.662,350,12,1,26,6752.966222926129,8433.661534983967,4840.966222926129,3592.6953120578396,1750.0,332.0,60.0,0,0.5341500000213273
14,Grid26C,12,12,12,10396.522,325,12,1,26,6576.487833704979,8409.522418779488,4831.487833704978,3578.0345850745116,1625.0,302.0,60.0,0,0.5544997999968473
14,Insert28,12,12,12,10278.685,327,12,1,28,7205.969060773107,8267.685371282094,5321.969060773107,2945.716310508984,1635.0,316.0,60.0,0,1.7942371999961324
14,Insert26,12,12,12,10630.567,349,12,1,26,6968.813636745186,8498.567435881263,5030.813636745186,3467.7537991360778,1745.0,327.0,60.0,0,0.6564462999813259
14,ClearEarly28,12,12,12,8918.923,321,12,1,28,7177.856603366876,6935.923303521128,5267.856603366876,1668.066700154254,1605.0,318.0,60.0,0,0.06427719999919645
15,ShiftB,15,15,15,9456.113,327,15,1,28,7097.878524776097,7427.113153050851,5233.878524776096,2193.234628274755,1635.0,319.0,75.0,0,0.4021039999788627
15,Grid26A,15,15,15,9862.674,342,15,1,26,6672.437099875828,7757.673577912575,4826.437099875828,2931.2364780367493,1710.0,320.0,75.0,0,0.5797486000228673
15,Grid26B,15,15,15,9971.717,306,15,1,26,6535.457968919034,8070.716883577711,4838.457968919035,3232.2589146586747,1530.0,296.0,75.0,0,0.47699290001764894
15,Grid26C,15,15,15,9910.894,308,15,1,26,6504.4878337049795,8003.893695623951,4831.487833704978,3172.4058619189764,1540.0,292.0,75.0,0,0.4548493000038434
15,Insert28,15,15,15,10665.576,352,15,1,28,7370.769093742834,8487.576001571855,5347.769093742834,3139.806907829018,1760.0,343.0,75.0,0,3.788371000002371
15,Insert26,15,15,15,11529.423,315,15,1,26,6737.024179627842,9584.422643092861,5029.024179627842,4555.398463465018,1575.0,295.0,75.0,0,5.062942900025519
15,ClearEarly28,15,15,15,9662.626,365,15,1,28,7331.300188471614,7402.6261135959285,5234.300188471613,2168.3259251243135,1825.0,360.0,75.0,0,0.11528080000425689
16,ShiftB,12,12,12,10929.669,353,12,1,28,7122.736514974659,8777.669255922088,5233.736514974659,3543.932740947438,1765.0,327.0,60.0,0,0.715327999991132
16,Grid26A,12,12,12,10757.161,308,12,1,26,6520.048108516687,8861.16125533225,4824.048108516686,4037.1131468155627,1540.0,296.0,60.0,0,0.24117530000512488
16,Grid26B,12,12,12,11066.839,291,12,1,26,6433.457968919034,9270.839429621994,4838.457968919035,4432.381460702958,1455.0,281.0,60.0,0,0.28099609998753294
16,Grid26C,12,12,12,10519.868,327,12,1,26,6618.4878337049795,8513.868488447586,4831.487833704978,3682.380654742608,1635.0,311.0,60.0,0,0.6049763000046369
16,Insert28,12,12,12,10725.649,319,12,1,28,7074.647169150223,8775.649330497437,5368.647169150222,3407.0021613472168,1595.0,295.0,60.0,0,4.131223100004718
16,Insert26,12,12,12,9333.124,280,12,1,26,6623.575557462035,7604.123798885753,5044.575557462036,2559.5482414237176,1400.0,269.0,60.0,0,7.20854180000606
16,ClearEarly28,12,12,12,10903.038,419,12,1,28,7332.736514974659,8345.037966820842,5233.736514974659,3111.3014518461887,2095.0,403.0,60.0,0,1.0823675999999978
17,ShiftB,15,15,15,10815.522,401,15,1,28,7420.586940097532,8365.52162732912,5262.586940097532,3102.9346872315923,2005.0,370.0,75.0,0,1.7259984999836888
17,Grid26A,15,15,15,10456.721,381,15,1,26,6869.038645946025,8124.721490751129,4824.038645946023,3300.6828448051047,1905.0,352.0,75.0,0,1.5617901000077836
17,Grid26B,15,15,15,9671.766,337,15,1,26,6775.193502965486,7580.765733690112,4839.193502965486,2741.572230724624,1685.0,331.0,75.0,0,0.6785307999816723
17,Grid26C,15,15,15,10386.726,359,15,1,26,6857.368766627149,8173.726320953526,4861.368766627147,3312.3575543263796,1795.0,343.0,75.0,0,0.9678972999972757
17,Insert28,15,15,15,10708.445,333,15,1,28,7354.963771669724,8647.445125219303,5464.963771669724,3182.481353549578,1665.0,321.0,75.0,0,3.4392138999828603
17,Insert26,15,15,15,10006.544,330,15,1,26,6970.115467289599,7962.543882314364,5071.115467289599,2891.428415024766,1650.0,319.0,75.0,0,4.856463600008283
17,ClearEarly28,15,15,15,9842.161,424,15,1,28,7777.521026720498,7232.1612867970925,5341.521026720499,1890.640260076595,2120.0,415.0,75.0,0,0.4177112999896053
18,ShiftB,11,11,11,9657.85,367,11,1,28,7278.736514974659,7416.849708331929,5233.736514974659,2183.1131933572697,1835.0,351.0,55.0,0,1.1382138000044506
18,Grid26A,11,11,11,10893.897,389,11,1,26,6917.038645946024,8533.897194499928,4824.038645946023,3709.8585485539106,1945.0,360.0,55.0,0,1.1261319000041112
18,Grid26B,11,11,11,10127.204,353,11,1,26,6873.618746518738,7962.203821035048,4847.618746518739,3114.585074516311,1765.0,345.0,55.0,0,0.4545370000123512
18,Grid26C,11,11,11,10413.722,351,11,1,26,6792.4878337049795,8265.721617544508,4831.487833704978,3434.2337838395306,1755.0,338.0,55.0,0,0.92010359998676
18,Insert28,11,11,11,10753.655,376,11,1,28,7420.362271400965,8472.655336895468,5357.362271400965,3115.293065494499,1880.0,346.0,55.0,0,6.652991500013741
18,Insert26,11,11,11,10613.452,339,11,1,26,6948.554585906982,8536.451528938458,5016.5545859069825,3519.8969430314755,1695.0,327.0,55.0,0,3.289978099986911
18,ClearEarly28,11,11,11,9563.874,428,11,1,28,7699.558731980612,6949.873719775698,5242.558731980611,1707.314987795086,2140.0,419.0,55.0,0,0.25532060000114143
19,ShiftB,10,10,10,9374.628,366,10,1,28,7356.736514974659,7131.628248836974,5233.736514974659,1897.891733862316,1830.0,363.0,50.0,0,0.5256959000253119
19,Grid26A,10,10,10,9411.187,364,10,1,26,6901.114719373878,7190.18709675261,4857.114719373877,2333.0723773787345,1820.0,351.0,50.0,0,0.8586744999920484
19,Grid26B,10,10,10,9688.265,358,10,1,26,6913.457968919034,7496.265093469356,4838.457968919035,2657.8071245503224,1790.0,352.0,50.0,0,0.38615379997645505
19,Grid26C,10,10,10,10592.264,352,10,1,26,6828.487833704979,8437.264426159136,4831.487833704978,3605.776592454155,1760.0,345.0,50.0,0,0.507682700001169
19,Insert28,10,10,10,10631.33,377,10,1,28,7500.871777808049,8331.330050661656,5345.87177780805,2985.458272853604,1885.0,365.0,50.0,0,8.468261900008656
19,Insert26,10,10,10,11132.017,409,10,1,26,7215.587833394944,8647.016994989708,4936.587833394945,3710.429161594765,2045.0,390.0,50.0,0,1.1166102999995928
19,ClearEarly28,10,10,10,9589.279,420,10,1,28,7713.881027968703,7023.279398756498,5244.881027968703,1778.398370787795,2100.0,416.0,50.0,0,0.037274900008924305
20,ShiftB,14,14,14,9244.75,301,14,1,28,6967.504975268071,7372.750221683489,5242.50497526807,2130.2452464154194,1505.0,297.0,70.0,0,0.5564963000069838
20,Grid26A,14,14,14,9385.542,268,14,1,26,6354.306122331288,7714.541867462448,4856.306122331287,2858.235745131158,1340.0,261.0,70.0,0,0.5514891000057105
20,Grid26B,14,14,14,9924.629,281,14,1,26,6417.174890468654,8179.629370463184,4865.174890468654,3314.4544799945324,1405.0,270.0,70.0,0,0.4982878000009805
20,Grid26C,14,14,14,9282.869,284,14,1,26,6348.487833704979,7526.869057406064,4831.487833704978,2695.381223701086,1420.0,266.0,70.0,0,0.8408040000067558
20,Insert28,14,14,14,10062.524,313,14,1,28,7148.731649185882,8131.5241181494985,5418.731649185882,2712.792468963618,1565.0,296.0,70.0,0,2.5706256999983452
20,Insert26,14,14,14,9336.658,295,14,1,26,6803.594618931805,7503.657707637415,5106.594618931806,2397.0630887056122,1475.0,288.0,70.0,0,2.5494575000193436
20,ClearEarly28,14,14,14,9265.822,309,14,1,28,7063.504975268071,7344.821776882363,5242.50497526807,2102.3168016142927,1545.0,306.0,70.0,0,0.1749775999924168
21,ShiftB,10,10,10,9315.238,367,10,1,28,7356.736514974659,7066.238283965499,5233.736514974659,1832.501768990838,1835.0,364.0,50.0,0,0.6339879999868572
21,Grid26A,10,10,10,9763.291,368,10,1,26,6947.038645946024,7512.291473407492,4824.038645946023,2688.2528274614688,1840.0,361.0,50.0,0,0.4747557000082452
21,Grid26B,10,10,10,9733.474,377,10,1,26,6895.457968919034,7446.474314707844,4838.457968919035,2608.0163457888116,1885.0,352.0,50.0,0,1.1024442999914754
