case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
181,L950_C2,15,15,15,10321.539,301,15,1,31,8450.539216240408,1505.0,291.0,75.0,0,0.4181105999741703
182,L950_C2,11,11,11,10980.066,406,11,1,31,8507.065756183545,2030.0,388.0,55.0,0,0.4508227999904193
183,L950_C2,16,16,16,5092.535,162,16,1,31,4061.5352969221767,810.0,141.0,80.0,0,0.4069623999821488
184,L950_C2,16,16,16,6121.261,226,16,1,31,4689.2611597185,1130.0,222.0,80.0,0,0.2098182000045199
185,L950_C2,12,12,12,10117.802,333,12,1,31,8061.801599172382,1665.0,331.0,60.0,0,0.32352810000884347
186,L950_C2,12,12,12,10319.453,339,12,1,31,8233.4534327694,1695.0,331.0,60.0,0,0.3752185999765061
187,L950_C2,10,10,10,10579.169,380,10,1,31,8251.169494347387,1900.0,378.0,50.0,0,0.19933920001494698
188,L950_C2,15,15,15,10308.68,281,15,1,31,8558.680161849903,1405.0,270.0,75.0,0,0.4956590999790933
189,L950_C2,15,15,15,10935.735,334,15,1,31,8873.734712674255,1670.0,317.0,75.0,0,0.4627280000131577
190,L950_C2,14,14,14,10599.952,349,14,1,31,8445.951647052421,1745.0,339.0,70.0,0,0.40681370001402684
191,L950_C2,15,15,15,10200.468,279,15,1,31,8463.468181688644,1395.0,267.0,75.0,0,0.5160369999939576
192,L950_C2,10,10,10,10783.633,406,10,1,31,8304.633417222904,2030.0,399.0,50.0,0,0.13609060001908801
193,L950_C2,16,16,16,6443.917,212,16,1,31,5120.917284481861,1060.0,183.0,80.0,0,0.5498341000056826
194,L950_C2,14,14,14,10955.762,357,14,1,31,8764.76230991798,1785.0,336.0,70.0,0,0.7860539999965113
195,L950_C2,15,15,15,10281.928,303,15,1,31,8391.92786280243,1515.0,300.0,75.0,0,0.2304936999862548
196,L950_C2,15,15,15,10692.349,292,15,1,31,8882.348892271239,1460.0,275.0,75.0,0,0.6243937000108417
197,L950_C2,15,15,15,10276.706,283,15,1,31,8511.706189882529,1415.0,275.0,75.0,0,0.49044160000630654
198,L950_C2,14,14,14,11442.831,365,14,1,31,9200.830910690762,1825.0,347.0,70.0,0,0.6086057999928016
199,L950_C2,15,15,15,11073.85,374,15,1,31,8773.84967955966,1870.0,355.0,75.0,0,0.506282900023507
200,L950_C2,15,15,15,10776.177,288,15,1,31,8985.176872703372,1440.0,276.0,75.0,0,0.3517058999859728
201,L950_C2,13,13,13,10631.314,329,13,1,31,8598.313569317896,1645.0,323.0,65.0,0,0.2914251000038348
202,L950_C2,15,15,15,10587.275,298,15,1,31,8736.274692926805,1490.0,286.0,75.0,0,0.41165220001130365
203,L950_C2,11,11,11,10513.247,400,11,1,31,8061.247216340635,2000.0,397.0,55.0,0,0.19937720001325943
204,L950_C2,16,16,16,6725.79,241,16,1,31,5209.790486058669,1205.0,231.0,80.0,0,1.1244290000176989
205,L950_C2,14,14,14,10311.109,298,14,1,31,8459.1087248885,1490.0,292.0,70.0,0,0.36541959998430684
206,L950_C2,14,14,14,10945.609,316,14,1,31,9000.608590123007,1580.0,295.0,70.0,0,0.5664053999935277
207,L950_C2,15,15,15,9759.069,238,15,1,31,8258.068973048508,1190.0,236.0,75.0,0,0.27467660000547767
208,L950_C2,12,12,12,10542.271,414,12,1,31,8010.270957769578,2070.0,402.0,60.0,0,0.22667639999417588
209,L950_C2,10,10,10,10416.715,383,10,1,31,8072.715118655005,1915.0,379.0,50.0,0,0.23820409999461845
210,L950_C2,13,13,13,10074.276,312,13,1,31,8145.276170692908,1560.0,304.0,65.0,0,0.31641299999319017
211,L950_C2,15,15,15,10851.082,320,15,1,31,8871.08228288396,1600.0,305.0,75.0,0,0.5008146000036504
212,L950_C2,14,14,14,10744.973,334,14,1,31,8675.972921363647,1670.0,329.0,70.0,0,0.32467499998165295
213,L950_C2,15,15,15,11171.451,327,15,1,31,9144.450902411354,1635.0,317.0,75.0,0,0.623024800006533
214,L950_C2,15,15,15,10901.285,312,15,1,31,8975.284937672,1560.0,291.0,75.0,0,0.8809073999873362
215,L950_C2,14,14,14,10545.666,321,14,1,31,8559.666412227489,1605.0,311.0,70.0,0,0.4928980999975465
216,L950_C2,14,14,14,11229.824,345,14,1,31,9111.82363055371,1725.0,323.0,70.0,0,0.47587900000507943
217,L950_C2,13,13,13,10429.628,332,13,1,31,8380.628096751974,1660.0,324.0,65.0,0,0.3834373000136111
218,L950_C2,11,11,11,10733.532,380,11,1,31,8402.53226448413,1900.0,376.0,55.0,0,0.2514894000196364
219,L950_C2,13,13,13,10393.509,340,13,1,31,8298.50938254501,1700.0,330.0,65.0,0,0.48862729998654686
220,L950_C2,10,10,10,11184.556,415,10,1,31,8660.55628925103,2075.0,399.0,50.0,0,0.4804038000002038
221,L950_C2,12,12,12,11215.773,395,12,1,31,8804.77324262863,1975.0,376.0,60.0,0,0.448591899999883
222,L950_C2,15,15,15,10355.198,304,15,1,31,8461.197602672999,1520.0,299.0,75.0,0,0.31102250001276843
223,L950_C2,16,16,16,7463.657,271,16,1,31,5770.656648407007,1355.0,258.0,80.0,0,0.5200255999807268
224,L950_C2,12,12,12,10640.011,373,12,1,31,8347.010763002343,1865.0,368.0,60.0,0,0.31686779999290593
225,L950_C2,12,12,12,10938.905,379,12,1,31,8613.905464667065,1895.0,370.0,60.0,0,0.365178800013382
226,L950_C2,13,13,13,10348.799,332,13,1,31,8306.798893711937,1660.0,317.0,65.0,0,0.5248010999930557
227,L950_C2,15,15,15,11060.875,345,15,1,31,8932.874899074925,1725.0,328.0,75.0,0,0.7282656999886967
228,L950_C2,14,14,14,11349.876,350,14,1,31,9194.8763247145,1750.0,335.0,70.0,0,0.4872574000037275
229,L950_C2,15,15,15,10465.624,267,15,1,31,8794.624110222221,1335.0,261.0,75.0,0,0.4188381999847479
230,L950_C2,11,11,11,10503.834,360,11,1,31,8299.834252385435,1800.0,349.0,55.0,0,0.4930545999959577
231,L950_C2,16,16,16,5290.339,192,16,1,31,4078.338949545507,960.0,172.0,80.0,0,0.636593700008234
232,L950_C2,12,12,12,10906.041,382,12,1,31,8572.04113286712,1910.0,364.0,60.0,0,0.29310500001884066
