case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
76,L950_C2,15,15,15,10310.861,241,15,1,31,7719.58904601016,8801.861325234755,1205.0,229.0,75.0,0,0.3608114999951795
77,L950_C2,14,14,14,10457.318,321,14,1,31,8293.079678026861,8467.317734809869,1605.0,315.0,70.0,0,0.3726091999851633
78,L950_C2,14,14,14,10660.275,310,14,1,31,8104.448267190432,8746.274585845003,1550.0,294.0,70.0,0,0.6159709999919869
79,L950_C2,15,15,15,10396.707,306,15,1,31,8110.6429425221595,8497.707063947451,1530.0,294.0,75.0,0,0.5459787999861874
80,L950_C2,15,15,15,10912.5,327,15,1,31,8183.671431769135,8896.49951044812,1635.0,306.0,75.0,0,0.6913430000131484
81,L950_C2,14,14,14,10812.849,340,14,1,31,8326.448267190432,8711.84893815641,1700.0,331.0,70.0,0,0.5112760000047274
82,L950_C2,16,16,16,7493.015,238,16,1,31,4233.0,6003.015237047537,1190.0,220.0,80.0,0,0.637491500005126
83,L950_C2,15,15,15,10726.344,289,15,1,31,7955.195522023824,8935.344239195572,1445.0,271.0,75.0,0,0.663218700006837
84,L950_C2,15,15,15,10131.003,273,15,1,31,7882.448267190432,8433.002570416485,1365.0,258.0,75.0,0,0.5966296999831684
85,L950_C2,11,11,11,10588.489,348,11,1,31,8392.448267190432,8452.488861827329,1740.0,341.0,55.0,0,0.2728633999940939
86,L950_C2,13,13,13,9985.43,330,13,1,31,8322.134515366974,7945.430277433366,1650.0,325.0,65.0,0,0.23241609998513013
87,L950_C2,15,15,15,10581.37,299,15,1,31,8026.915311633164,8734.370274661258,1495.0,277.0,75.0,0,0.6536806999938563
88,L950_C2,10,10,10,10734.146,408,10,1,31,8782.448267190432,8238.145578719203,2040.0,406.0,50.0,0,0.23476609998033382
89,L950_C2,13,13,13,10834.439,331,13,1,31,8200.448267190432,8801.439124867833,1655.0,313.0,65.0,0,0.6642758999951184
90,L950_C2,12,12,12,10360.736,362,12,1,31,8519.463864234433,8130.735517541022,1810.0,360.0,60.0,0,0.27923549999832176
91,L950_C2,15,15,15,10893.961,296,15,1,31,8062.448267190432,9046.961345478403,1480.0,292.0,75.0,0,0.4176053999981377
92,L950_C2,15,15,15,10940.474,307,15,1,31,8050.448267190432,9041.473757800855,1535.0,289.0,75.0,0,0.6219492999953218
93,L950_C2,15,15,15,10582.611,294,15,1,31,8050.822947917889,8757.610900712321,1470.0,280.0,75.0,0,0.4267206999938935
94,L950_C2,11,11,11,10966.534,349,11,1,31,8386.448267190432,8824.533739953557,1745.0,342.0,55.0,0,0.31033019997994415
95,L950_C2,12,12,12,10534.786,368,12,1,31,8591.353191172195,8279.786381407079,1840.0,355.0,60.0,0,0.3474193000001833
96,L950_C2,11,11,11,10943.878,418,11,1,31,8864.933332973977,8387.878349358674,2090.0,411.0,55.0,0,0.35676969998166896
97,L950_C2,12,12,12,10656.903,356,12,1,31,8416.448267190432,8471.902704113714,1780.0,345.0,60.0,0,0.4161490000260528
98,L950_C2,16,16,16,5536.114,215,16,1,31,1817.0,4177.113744237623,1075.0,204.0,80.0,0,0.6852618000120856
99,L950_C2,14,14,14,10339.884,308,14,1,31,8153.567391195852,8431.884023088347,1540.0,298.0,70.0,0,0.3551380999851972
100,L950_C2,11,11,11,10518.528,397,11,1,31,8723.453576294367,8087.528276496776,1985.0,391.0,55.0,0,0.25455349998082966
101,L950_C2,15,15,15,10644.452,307,15,1,31,8077.766182594597,8749.451512020622,1535.0,285.0,75.0,0,0.510736199998064
102,L950_C2,13,13,13,10777.349,327,13,1,31,8259.80498928131,8761.349179131226,1635.0,316.0,65.0,0,0.5333477000240237
103,L950_C2,11,11,11,11140.954,438,11,1,31,8851.780089585938,8471.954422636843,2190.0,424.0,55.0,0,0.31600250001065433
104,L950_C2,10,10,10,10667.005,396,10,1,31,8728.448267190432,8244.004519453925,1980.0,393.0,50.0,0,0.15503320001880638
105,L950_C2,13,13,13,9995.525,308,13,1,31,8227.855574731992,8091.525288951135,1540.0,299.0,65.0,0,0.3187045999802649
106,L950_C2,10,10,10,10483.414,387,10,1,31,8658.56645263625,8115.413544469773,1935.0,383.0,50.0,0,0.22337760002119467
107,L950_C2,14,14,14,10544.684,329,14,1,31,8259.086516028074,8513.68363912134,1645.0,316.0,70.0,0,0.5424665999889839
108,L950_C2,16,16,16,6356.632,254,16,1,31,2504.2948712019343,4763.632247911381,1270.0,243.0,80.0,0,0.9279423000116367
109,L950_C2,13,13,13,10709.237,325,13,1,31,8320.644501384893,8697.237382574764,1625.0,322.0,65.0,0,0.2260662000044249
110,L950_C2,12,12,12,10125.777,336,12,1,31,8365.057875110086,8054.776645675751,1680.0,331.0,60.0,0,0.26693329997942783
111,L950_C2,16,16,16,7037.16,305,16,1,31,3627.2051604902585,5146.160239215825,1525.0,286.0,80.0,0,0.46686939999926835
112,L950_C2,10,10,10,10512.335,376,10,1,31,8574.567515825502,8215.33500209872,1880.0,367.0,50.0,0,0.29382609997992404
113,L950_C2,11,11,11,10346.544,378,11,1,31,8628.076371159386,8029.54363233055,1890.0,372.0,55.0,0,0.3062132000050042
114,L950_C2,11,11,11,10714.342,378,11,1,31,8596.448267190432,8394.342102343358,1890.0,375.0,55.0,0,0.3161569999938365
115,L950_C2,15,15,15,9896.864,252,15,1,31,7814.635151502063,8318.863570841779,1260.0,243.0,75.0,0,0.3578157000010833
116,L950_C2,16,16,16,6216.356,206,16,1,31,4220.323678705934,4906.355677476633,1030.0,200.0,80.0,0,0.3334571000013966
117,L950_C2,11,11,11,10841.524,393,11,1,31,8708.679171548894,8437.524120478993,1965.0,384.0,55.0,0,0.23543709999648854
118,L950_C2,14,14,14,10922.35,316,14,1,31,8209.445417020532,8967.350268132772,1580.0,305.0,70.0,0,0.5188229000195861
119,L950_C2,16,16,16,7592.479,251,16,1,31,4198.793896076964,6027.478681468551,1255.0,230.0,80.0,0,0.7858701999939512
120,L950_C2,10,10,10,10781.28,394,10,1,31,8680.448267190432,8374.280323585946,1970.0,387.0,50.0,0,0.23022940001101233
121,L950_C2,12,12,12,10591.288,347,12,1,31,8397.70390500749,8457.287586506132,1735.0,339.0,60.0,0,0.2509868000051938
122,L950_C2,13,13,13,10985.285,367,13,1,31,8467.492746517393,8738.28476371338,1835.0,347.0,65.0,0,0.690470000001369
123,L950_C2,15,15,15,10517.758,297,15,1,31,8050.448267190432,8669.757820640332,1485.0,288.0,75.0,0,0.554204199986998
124,L950_C2,16,16,16,6603.032,190,16,1,31,4005.2799564295747,5399.032309407342,950.0,174.0,80.0,0,0.6526914999994915
125,L950_C2,10,10,10,10547.279,412,10,1,31,8755.030571953674,8041.278978304915,2060.0,396.0,50.0,0,0.41188979998696595
126,L950_C2,10,10,10,10750.832,434,10,1,31,8938.448267190432,8099.8322972112755,2170.0,431.0,50.0,0,0.30071360000874847
127,L950_C2,11,11,11,10470.71,368,11,1,31,8553.942033070894,8213.709594388698,1840.0,362.0,55.0,0,0.26565250000567175
128,L950_C2,16,16,16,7536.259,446,16,1,31,2430.5583781055475,4787.25946073445,2230.0,439.0,80.0,0,1.0101223000092432
129,L950_C2,15,15,15,10148.226,285,15,1,31,8024.229475215829,8370.226119136014,1425.0,278.0,75.0,0,0.45134490000782534
130,L950_C2,13,13,13,10484.658,305,13,1,31,8192.95375275969,8593.658202445187,1525.0,301.0,65.0,0,0.2953475999820512
131,L950_C2,13,13,13,10407.332,332,13,1,31,8288.948465970047,8359.332066208539,1660.0,323.0,65.0,0,0.38661830002092756
132,L950_C2,16,16,16,7319.528,184,16,1,31,3748.630184378114,6156.528414576643,920.0,163.0,80.0,0,0.7043383999844082
133,L950_C2,15,15,15,10385.838,294,15,1,31,8164.96880142579,8555.838225515467,1470.0,285.0,75.0,0,0.42453370001749136
134,L950_C2,16,16,16,7008.861,269,16,1,31,3269.0,5319.860944916777,1345.0,264.0,80.0,0,0.4850808000192046
135,L950_C2,10,10,10,10576.193,400,10,1,31,8740.978471915916,8130.192942413279,2000.0,396.0,50.0,0,0.21780389998457395
136,L950_C2,13,13,13,10788.876,339,13,1,31,8235.690090954113,8713.87621545206,1695.0,315.0,65.0,0,0.5974930000083987
137,L950_C2,12,12,12,10576.72,392,12,1,31,8782.300740702032,8165.7204163199485,1960.0,391.0,60.0,0,0.21593280002707615
138,L950_C2,16,16,16,5733.453,205,16,1,31,1775.0,4431.452845229599,1025.0,197.0,80.0,0,0.5218345999892335
139,L950_C2,15,15,15,10500.059,280,15,1,31,7918.288907202148,8765.058917312504,1400.0,260.0,75.0,0,0.5123502999776974
140,L950_C2,16,16,16,6707.66,234,16,1,31,3763.0,5245.660492864086,1170.0,212.0,80.0,0,0.5771588000061456
141,L950_C2,10,10,10,11574.128,424,10,1,31,8776.448267190432,8997.128001781672,2120.0,407.0,50.0,0,0.41798120000748895
142,L950_C2,13,13,13,11113.487,376,13,1,31,8482.334173989968,8809.486792648438,1880.0,359.0,65.0,0,0.23063740000361577
143,L950_C2,14,14,14,9863.919,305,14,1,31,8228.985717790843,7966.918927303179,1525.0,302.0,70.0,0,0.18241699997452088
144,L950_C2,14,14,14,11173.964,377,14,1,31,8436.926109692262,8859.963771777517,1885.0,359.0,70.0,0,0.2587669000204187
145,L950_C2,10,10,10,10838.03,387,10,1,31,8602.448267190432,8476.029751140513,1935.0,377.0,50.0,0,0.40383830000064336
146,L950_C2,10,10,10,10819.513,421,10,1,31,8827.53023324863,8260.512893255067,2105.0,404.0,50.0,0,0.5245241000084206
147,L950_C2,16,16,16,6328.178,206,16,1,31,4125.34568886301,5018.178178146007,1030.0,200.0,80.0,0,0.4188066000060644
148,L950_C2,14,14,14,10300.213,318,14,1,31,8200.448267190432,8329.213227090573,1590.0,311.0,70.0,0,0.3208073000132572
149,L950_C2,12,12,12,11156.945,378,12,1,31,8566.79054645049,8841.945181777397,1890.0,365.0,60.0,0,0.4041271999885794
150,L950_C2,10,10,10,10456.307,376,10,1,31,8572.448267190432,8157.307004486957,1880.0,369.0,50.0,0,0.2620450000104029
151,L950_C2,14,14,14,10835.496,282,14,1,31,7954.448267190432,9083.496283830927,1410.0,272.0,70.0,0,0.5487256000051275
152,L950_C2,13,13,13,10283.481,340,13,1,31,8308.448267190432,8192.481399564393,1700.0,326.0,65.0,0,0.37579099999857135
153,L950_C2,14,14,14,10146.487,313,14,1,31,8216.79144269658,8201.486795916155,1565.0,310.0,70.0,0,0.2966641999955755
154,L950_C2,11,11,11,11171.612,390,11,1,31,8506.448267190432,8805.611650517105,1950.0,361.0,55.0,0,1.059853100014152
155,L950_C2,12,12,12,10340.851,334,12,1,31,8345.044524706085,8283.850710803546,1670.0,327.0,60.0,0,0.29663880000589415
156,L950_C2,16,16,16,6928.434,190,16,1,31,2637.0,5751.434139780946,950.0,147.0,80.0,0,1.50019330001669
157,L950_C2,10,10,10,10553.124,385,10,1,31,8650.448267190432,8196.124088116996,1925.0,382.0,50.0,0,0.2222810999955982
158,L950_C2,13,13,13,10853.622,328,13,1,31,8181.701575369895,8841.622309985542,1640.0,307.0,65.0,0,0.845255599997472
159,L950_C2,12,12,12,10448.169,361,12,1,31,8464.448267190432,8228.168848261274,1805.0,355.0,60.0,0,0.5727347000211012
160,L950_C2,15,15,15,10176.534,275,15,1,31,7974.511222653884,8458.533776705463,1375.0,268.0,75.0,0,0.5603450999769848
161,L950_C2,15,15,15,10319.171,292,15,1,31,8093.627911097225,8497.17066629553,1460.0,287.0,75.0,0,0.46418520002043806
162,L950_C2,16,16,16,5284.742,292,16,1,31,1805.0,3454.7420602304187,1460.0,290.0,80.0,0,0.9642536999890581
163,L950_C2,15,15,15,10600.609,275,15,1,31,7918.448267190432,8885.608657321229,1375.0,265.0,75.0,0,0.671902100002626
164,L950_C2,14,14,14,10904.983,319,14,1,31,8245.41364444228,8925.982710440001,1595.0,314.0,70.0,0,0.6927324999996927
165,L950_C2,14,14,14,10420.265,303,14,1,31,8122.448267190432,8538.264948452945,1515.0,297.0,70.0,0,0.6418151999823749
166,L950_C2,14,14,14,11422.14,313,14,1,31,8014.448267190432,9505.140373692446,1565.0,282.0,70.0,0,1.63697449999745
167,L950_C2,13,13,13,11212.679,400,13,1,31,8698.778553412738,8763.679401109302,2000.0,384.0,65.0,0,0.7985207999881823
168,L950_C2,16,16,16,8255.657,225,16,1,31,4285.0,6860.656589282146,1125.0,190.0,80.0,0,1.7615739000029862
169,L950_C2,12,12,12,10582.621,344,12,1,31,8381.693808702243,8474.620605271457,1720.0,328.0,60.0,0,0.7098301000078209
170,L950_C2,11,11,11,10717.29,389,11,1,31,8745.50247466621,8334.289724946073,1945.0,383.0,55.0,0,0.5664987999771256
171,L950_C2,12,12,12,10870.936,373,12,1,31,8440.448267190432,8592.93581543934,1865.0,353.0,60.0,0,1.2277976999757811
