组号,类型,S_x(m),S_y(m),监测点数,区域状态,直径(m),同直径圆覆盖,检查结果,M1_x(m),M1_y(m),M2_x(m),M2_y(m),M3_x(m),M3_y(m),M4_x(m),M4_y(m),M5_x(m),M5_y(m),M6_x(m),M6_y(m)
MC055,蒙特卡洛,142.98323201773567,1572.6181436355203,5,polygon,21.815050185822205,True,通过,-303.94441983141394,1276.7083780124367,-99.60872895778766,1593.9258956262481,-388.03201868428016,1961.634282416374,-315.34137019462435,1921.0188958218384,533.459554906309,1533.4799781561755,,
MC056,蒙特卡洛,-568.6022426462715,828.5239771311038,2,polygon,23.242775038807203,True,通过,6.915907428590003,823.7350458879464,-549.5986243411777,1138.1654620416298,,,,,,,,
MC057,蒙特卡洛,-166.0478763355993,58.843333576731624,6,polygon,7.049561908187139,False,通过,-68.50191790980502,-711.9058479107706,344.95203248249504,-21.076203394081176,496.3586490535856,23.44561629028454,667.8186019727793,257.6716164807875,-668.7969962028615,705.1736815883244,-649.3923596800753,-501.1469789279331
MC058,蒙特卡洛,1374.1287819113315,294.8406762891918,6,polygon,8.548424358356069,False,通过,531.2212527058341,439.86183659519406,1276.0912747790878,612.612389025149,1231.7646323137203,394.9338120174531,1338.0034879360373,-216.5815333611023,1089.6568871912693,167.71601266297827,1074.4849188934315,38.76217707291886
MC059,蒙特卡洛,1397.9674985845893,-734.2605908986633,2,polygon,47.68052759439228,True,通过,2264.637551239405,-744.5790298380888,1235.509856248941,-1606.7865822630943,,,,,,,,
MC060,蒙特卡洛,394.85111348946776,1539.2422525085697,4,polygon,38.915286368245816,True,通过,1271.3920865694258,1351.977473373889,115.07409206479161,1444.8947106412609,-136.8647109735967,1758.1330552173836,714.919254170994,1704.347430112021,,,,
MC061,蒙特卡洛,1035.4302871584764,288.7906868559267,3,polygon,33.175983009283435,True,通过,1084.1742120825304,580.9552542500694,1035.1421652863996,-3.9491912670235365,639.9187990555029,-33.97789536501347,,,,,,
MC062,蒙特卡洛,-948.9685646887513,562.1260677750795,6,polygon,20.788649834578212,True,通过,-1199.0655661804888,1273.9749446664532,-687.8398245941071,907.7728356658995,-1140.763813587355,-278.2038455333511,-824.3658711022351,845.3338098097854,-230.01465303924476,847.3564890089301,-448.4951590823742,907.6388153499036
MC063,蒙特卡洛,1287.2546127755502,-626.5051162101555,3,polygon,7.907845495063339,True,通过,976.0787548071357,-763.7121091253417,1265.9012174303843,-538.0541814219125,1096.167027361719,-755.0788343333115,,,,,,
MC064,蒙特卡洛,541.5537448937033,-1200.816673416951,5,polygon,34.20270937253623,True,通过,1103.9456025050586,-719.7293473332493,774.8264832669648,-1141.1323236454134,1195.103980766367,-1807.9453873553225,1003.6562890436976,-1117.7578797329475,780.4958789296396,-1018.1444125534332,,
MC065,蒙特卡洛,494.51613181057445,1024.608122081264,2,polygon,293.97858381631204,True,通过,-362.56282201950836,1091.0065156055375,974.0534413228197,905.1028581637796,,,,,,,,
MC066,蒙特卡洛,578.1846378582756,-1024.6998397815203,6,polygon,4.854791291865269,False,通过,-235.34517691763642,-1103.3851852932244,556.0745090714591,-584.4385625996288,1260.2676538103292,-613.3044830526762,1279.5378819992154,-723.3718946409825,469.85158901985864,-875.9763459508564,806.8070384334865,-1050.0202769415637
MC067,蒙特卡洛,-1545.880466693195,793.4440183415452,4,polygon,8.835080484587264,True,通过,-1714.22760069193,772.6405770538623,-1412.651353889382,1100.2933749490662,-779.6132228798806,1236.6949325801675,-1734.8245104900407,203.82449386104622,,,,
MC068,蒙特卡洛,-639.5167442453869,1286.1023221275618,3,polygon,68.48433748868706,True,通过,-1341.3322764034137,1291.7793807456592,-40.03903447736377,976.072349400371,-495.3457174597545,1215.082132117876,,,,,,
MC069,蒙特卡洛,1242.6518786182644,64.02797215167939,5,polygon,23.310565038584603,True,通过,576.3176664970792,-393.4910273800666,1024.5018561977595,688.4828518492303,1062.674987911499,-113.06571710712996,1188.7264966516905,41.850546028489276,603.0504661062079,312.1581347243209,,
MC070,蒙特卡洛,1317.0627746723026,-495.6432100998907,3,polygon,21.44805330242151,True,通过,1474.789830258105,-867.3909356466877,1848.4079816872068,-378.5265355574396,1582.454154834827,-1275.3965781338643,,,,,,
