"组号","误差半角(°)","区域状态","直径(m)","包含检查","直径不减检查","检查结果","","","","","","","","","","","","",""
"MC069","0.9","polygon","20.937452500165","基准","不适用","通过","","","","","","","","","","","","",""
"MC069","1","polygon","23.3105650385846","通过","通过","通过","","","","","","","","","","","","",""
"MC069","1.1","polygon","25.6405279437534","通过","通过","通过","","","","","","","","","","","","",""
"MC070","0.9","polygon","18.6841355527945","基准","不适用","通过","","","","","","","","","","","","",""
"MC070","1","polygon","21.4480533024215","通过","通过","通过","","","","","","","","","","","","",""
"MC070","1.1","polygon","24.2922160793843","通过","通过","通过","","","","","","","","","","","","",""
"MC071","0.9","polygon","9.28033253392689","基准","不适用","通过","","","","","","","","","","","","",""
"MC071","1","polygon","11.6931291445068","通过","通过","通过","","","","","","","","","","","","",""
"MC071","1.1","polygon","14.0394440149032","通过","通过","通过","","","","","","","","","","","","",""
"MC072","0.9","polygon","4.01721978326169","基准","不适用","通过","","","","","","","","","","","","",""
"MC072","1","polygon","5.65514211160514","通过","通过","通过","","","","","","","","","","","","",""
"MC072","1.1","polygon","7.11652660041777","通过","通过","通过","","","","","","","","","","","","",""
"MC073","0.9","polygon","43.6119868144737","基准","不适用","通过","","","","","","","","","","","","",""
"MC073","1","polygon","50.5260400980532","通过","通过","通过","","","","","","","","","","","","",""
"MC073","1.1","polygon","57.4807260674156","通过","通过","通过","","","","","","","","","","","","",""
"MC074","0.9","polygon","23.996043230304","基准","不适用","通过","","","","","","","","","","","","",""
"MC074","1","polygon","26.6636228420519","通过","通过","通过","","","","","","","","","","","","",""
"MC074","1.1","polygon","29.3316298094264","通过","通过","通过","","","","","","","","","","","","",""
"MC075","0.9","polygon","23.7371236206204","基准","不适用","通过","","","","","","","","","","","","",""
"MC075","1","polygon","26.4761079008427","通过","通过","通过","","","","","","","","","","","","",""
"MC075","1.1","polygon","29.2840890259881","通过","通过","通过","","","","","","","","","","","","",""
"MC076","0.9","polygon","26.6482241931607","基准","不适用","通过","","","","","","","","","","","","",""
"MC076","1","polygon","30.1778840608611","通过","通过","通过","","","","","","","","","","","","",""
"MC076","1.1","polygon","33.7345413188724","通过","通过","通过","","","","","","","","","","","","",""
"MC077","0.9","polygon","25.6856789470761","基准","不适用","通过","","","","","","","","","","","","",""
"MC077","1","polygon","28.538542016298","通过","通过","通过","","","","","","","","","","","","",""
"MC077","1.1","polygon","31.3910573523918","通过","通过","通过","","","","","","","","","","","","",""
"MC078","0.9","polygon","19.4555737632343","基准","不适用","通过","","","","","","","","","","","","",""
"MC078","1","polygon","24.8413319216289","通过","通过","通过","","","","","","","","","","","","",""
"MC078","1.1","polygon","30.2479979861654","通过","通过","通过","","","","","","","","","","","","",""
"MC079","0.9","polygon","7.91742376687939","基准","不适用","通过","","","","","","","","","","","","",""
"MC079","1","polygon","12.7687933629351","通过","通过","通过","","","","","","","","","","","","",""
"MC079","1.1","polygon","17.6234414207875","通过","通过","通过","","","","","","","","","","","","",""
