case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
108,L1100_C2,16,16,16,9445.311,388,16,1,19,0.4883777000068221
109,L1100_C2,16,16,16,8529.056,276,16,1,19,0.39999070001067594
110,L1100_C2,16,16,16,7519.439,311,16,1,19,0.35782319999998435
111,L1100_C2,16,16,16,6332.333,201,16,1,19,0.3640150999999605
112,L1100_C2,16,16,16,8720.136,325,16,1,19,0.37397889999556355
113,L1100_C2,16,16,16,6926.051,260,16,1,19,0.26458099999581464
114,L1100_C2,16,16,16,7076.719,248,16,1,19,0.3332362000073772
115,L1100_C2,16,16,16,5858.003,239,16,1,19,0.4299765000178013
116,L1100_C2,16,16,16,6875.524,207,16,1,19,0.27766459999838844
117,L1100_C2,16,16,16,6198.007,214,16,1,19,0.29534859998966567
118,L1100_C2,16,16,16,7398.65,297,16,1,19,0.35149999998975545
119,L1100_C2,16,16,16,8343.565,502,16,1,19,0.5243372999830171
120,L1100_C2,16,16,16,6479.327,289,16,1,19,0.42305620000115596
121,L1100_C2,16,16,16,8184.886,267,16,1,19,0.5159157000016421
122,L1100_C2,16,16,16,8611.328,295,16,1,19,0.47203970002010465
123,L1100_C2,16,16,16,7565.055,313,16,1,19,0.43228690000250936
124,L1100_C2,16,16,16,8798.736,384,16,1,19,0.4210128999839071
125,L1100_C2,16,16,16,7520.824,299,16,1,19,0.5264407999929972
126,L1100_C2,16,16,16,7544.97,273,16,1,19,0.2705312000180129
127,L1100_C2,16,16,16,8970.11,483,16,1,19,0.638446600001771
128,L1100_C2,16,16,16,6763.4,326,16,1,19,0.36864120000973344
129,L1100_C2,16,16,16,7990.764,319,16,1,19,0.36159819999011233
130,L1100_C2,16,16,16,7591.055,389,16,1,19,0.5263395000074524
131,L1100_C2,16,16,16,7751.388,288,16,1,19,0.5105502999795135
132,L1100_C2,16,16,16,7679.511,259,16,1,19,0.44253969998680986
133,L1100_C2,16,16,16,6277.175,267,16,1,19,0.3377864999929443
134,L1100_C2,16,16,16,7503.329,322,16,1,19,0.40440799997304566
135,L1100_C2,16,16,16,8195.826,271,16,1,19,0.400331599987112
136,L1100_C2,16,16,16,6068.282,278,16,1,19,0.470965000014985
137,L1100_C2,16,16,16,8311.547,283,16,1,19,0.35665319999679923
138,L1100_C2,16,16,16,8125.708,303,16,1,19,0.27780680000432767
139,L1100_C2,16,16,16,7884.579,297,16,1,19,0.33193680000840686
140,L1100_C2,16,16,16,10402.48,428,16,1,19,0.4468110000016168
141,L1100_C2,16,16,16,6121.272,275,16,1,19,0.2742102000047453
