case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
389,L1100_C2,10,10,10,8091.843,295,10,1,19,5584.626655961087,6288.8432692825345,3960.6266559610867,2328.2166133214496,1475.0,278.0,50.0,0,0.4361671000078786
389,L1100I3,10,10,10,8295.605,317,10,1,22,5910.073721354744,6357.605044029779,4135.073721354744,2222.5313226750372,1585.0,303.0,50.0,0,0.37199459999101236
389,H8,10,10,10,9697.256,488,10,1,31,6933.749802523321,6755.2563872459405,4276.749802523322,2478.5065847226256,2440.0,452.0,50.0,0,0.6409171000123024
390,L1100_C2,11,11,11,7321.224,263,11,1,19,5496.002141466637,5692.224360430213,3980.002141466637,1712.2222189635763,1315.0,259.0,55.0,0,0.28863369999453425
390,L1100I3,11,11,11,8360.799,296,11,1,22,5820.073721354744,6533.798804319865,4135.073721354744,2398.7250829651216,1480.0,292.0,55.0,0,0.24702760000946
390,H8,11,11,11,9509.436,425,11,1,31,6639.749802523321,6926.435770136086,4276.749802523322,2649.6859676127624,2125.0,403.0,55.0,0,0.5210651000088546
391,L1100_C2,15,15,15,7960.484,216,15,1,19,4999.019911045058,6611.484421643453,3963.019911045058,2648.4645105983955,1080.0,194.0,75.0,0,0.5970826999982819
391,L1100I3,15,15,15,9045.981,217,15,1,22,5214.073721354744,7687.980644422302,4135.073721354744,3552.906923067558,1085.0,198.0,75.0,0,0.5472310000041034
391,H8,15,15,15,8696.477,367,15,1,31,6285.749802523322,6438.477471469597,4276.749802523322,2161.7276689462774,1835.0,348.0,75.0,0,0.8436901000095531
392,L1100_C2,12,12,12,7531.615,292,12,1,19,5489.0,5735.614813132441,3960.0,1775.614813132441,1460.0,276.0,60.0,0,0.34052590001374483
392,L1100I3,12,12,12,7915.279,305,12,1,22,5784.785640207919,6044.27861320303,4214.785640207919,1829.4929729951102,1525.0,286.0,60.0,0,0.334494500013534
392,H8,12,12,12,9052.117,460,12,1,31,6663.46118126558,6247.116599332688,4283.461181265581,1963.6554180671087,2300.0,445.0,60.0,0,0.3061638999788556
393,L1100_C2,13,13,13,7557.959,239,13,1,19,5303.0,6062.959059542092,3960.0,2102.959059542091,1195.0,235.0,65.0,0,0.37946549998014234
393,L1100I3,13,13,13,9611.509,294,13,1,22,5640.073721354744,7812.509060342507,4135.073721354744,3677.4353389877674,1470.0,264.0,65.0,0,0.6856478999834508
393,H8,13,13,13,8910.143,356,13,1,31,6291.749802523321,6717.142791878831,4276.749802523322,2440.3929893555096,1780.0,348.0,65.0,0,0.36791359999915585
394,L1100_C2,16,16,16,7923.193,269,16,1,19,4718.743560578215,6250.192518561034,3520.743560578215,2729.448957982818,1345.0,248.0,80.0,0,0.7401733000006061
394,L1100I3,16,16,16,9820.794,277,16,1,22,5538.073721354744,8105.79392213616,4135.073721354744,3970.7202007814185,1385.0,250.0,80.0,0,0.8909987000224646
394,H8,16,16,16,9688.643,418,16,1,31,5627.372828723766,7137.643267878931,3445.3728287237664,3692.270439155165,2090.0,381.0,80.0,0,0.8904296999971848
395,L1100_C2,13,13,13,8771.79,295,13,1,19,5303.0,6970.790372209798,3960.0,3010.7903722098017,1475.0,261.0,65.0,0,0.8474483000172768
395,L1100I3,13,13,13,9285.94,291,13,1,22,5586.073721354744,7508.940499809079,4135.073721354744,3373.8667784543377,1455.0,257.0,65.0,0,0.6506506000005174
395,H8,13,13,13,9275.144,409,13,1,31,6561.749802523321,6772.144364403502,4276.749802523322,2495.394561880183,2045.0,393.0,65.0,0,0.5556061000097543
396,L1100_C2,15,15,15,7931.285,268,15,1,19,5399.0,6261.2846050367625,3960.0,2301.284605036764,1340.0,255.0,75.0,0,0.48940190000575967
396,L1100I3,15,15,15,10271.722,315,15,1,22,5658.073721354744,8324.72225074814,4135.073721354744,4189.6485293933965,1575.0,297.0,75.0,0,0.7498790000099689
396,H8,15,15,15,9442.462,326,15,1,31,6125.150700994937,7421.461539118179,4297.150700994939,3124.310838123239,1630.0,316.0,75.0,0,0.35795979999238625
397,L1100_C2,12,12,12,7694.305,281,12,1,19,5567.0,5954.305208451316,3960.0,1994.305208451314,1405.0,275.0,60.0,0,0.3067631000012625
397,L1100I3,12,12,12,9003.208,319,12,1,22,5880.073721354744,7046.208189413875,4135.073721354744,2911.134468059131,1595.0,302.0,60.0,0,0.3416299000091385
397,H8,12,12,12,8680.295,369,12,1,31,6418.43510866719,6414.294564914231,4302.435108667192,2111.859456247041,1845.0,361.0,60.0,0,0.3914838999917265
398,L1100_C2,13,13,13,7978.088,293,13,1,19,5523.776138422862,6162.088416947849,4014.7761384228606,2147.3122785249893,1465.0,286.0,65.0,0,0.3404741999984253
398,L1100I3,13,13,13,8236.656,280,13,1,22,5652.073721354744,6501.656074486038,4135.073721354744,2366.5823531312963,1400.0,270.0,65.0,0,0.32658389999414794
398,H8,13,13,13,9071.873,435,13,1,31,6821.023676557593,6402.87297718132,4297.023676557594,2105.849300623724,2175.0,429.0,65.0,0,0.37085489998571575
399,L1100_C2,11,11,11,8625.796,382,11,1,19,5669.0,6287.795537211772,3960.0,2327.795537211775,1910.0,373.0,55.0,0,0.3750792999926489
399,L1100I3,11,11,11,9640.82,362,11,1,22,6602.215075769552,7427.820493206579,4768.215075769552,2659.6054174370283,1810.0,348.0,55.0,0,0.4310330000007525
399,H8,11,11,11,8775.68,428,11,1,31,6771.749802523321,6156.680211596271,4276.749802523322,1879.93040907295,2140.0,424.0,55.0,0,0.267017299978761
400,L1100_C2,14,14,14,7543.798,259,14,1,19,5332.535704812706,5940.7978936922555,3960.535704812706,1980.2621888795493,1295.0,238.0,70.0,0,0.4542825999960769
400,L1100I3,14,14,14,9350.854,265,14,1,22,6185.90630728249,7710.8538268441325,4766.90630728249,2943.947519561644,1325.0,245.0,70.0,0,0.37640450001345016
400,H8,14,14,14,9211.701,417,14,1,31,6555.749802523321,6663.701379363288,4276.749802523322,2386.9515768399683,2085.0,393.0,70.0,0,0.6987463999830652
401,L1100_C2,10,10,10,8439.487,326,10,1,19,5711.0,6451.487353090217,3960.0,2491.4873530902178,1630.0,308.0,50.0,0,0.5880270999914501
401,L1100I3,10,10,10,9020.153,343,10,1,22,6048.073721354744,6928.152824950533,4135.073721354744,2793.079103595792,1715.0,327.0,50.0,0,0.38877489999867976
401,H8,10,10,10,10456.185,480,10,1,31,6927.749802523321,7554.185024391917,4276.749802523322,3277.4352218686004,2400.0,452.0,50.0,0,0.7655380000069272
