label,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,origin_discoveries,selected_route,pruned_observations,audited_pruned,pruned_truth_hits,min_pruned_dist,max_kept_dist,movement,search_movement,post_movement,detection,switching,clearing
A_normal_n10,8,C,10,10,10,7877.878,463,10,1,3,C,0,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2315.0,457.0,50.0
A_normal_n10,8,BF,10,10,10,8391.553,381,10,1,3,B,35,0,0,,,6067.552567734106,4081.871979393182,1985.6805883409236,1905.0,369.0,50.0
A_normal_n10,8,CF,10,10,10,7541.878,407,10,1,3,C,56,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,8,D,10,10,10,7541.878,407,10,1,3,C,56,56,0,1503.717213732842,1363.9695399532736,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,8,C3F,10,10,10,7541.878,407,10,1,3,C,56,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,9,B,10,10,10,8015.54,366,10,1,3,B,0,0,0,,,5775.5399036707695,4081.871979393182,1693.6679242775883,1830.0,360.0,50.0
A_normal_n10,9,C,10,10,10,7665.758,436,10,1,3,C,0,0,0,,,5004.758289412783,3692.4612845303955,1312.2970048823877,2180.0,431.0,50.0
A_normal_n10,9,BF,10,10,10,7967.54,358,10,1,3,B,8,0,0,,,5775.5399036707695,4081.871979393182,1693.6679242775883,1790.0,352.0,50.0
A_normal_n10,9,CF,10,10,10,7332.758,380,10,1,3,C,56,0,0,,,5004.758289412783,3692.4612845303955,1312.2970048823877,1900.0,378.0,50.0
A_normal_n10,9,D,10,10,10,7332.758,380,10,1,3,C,56,56,0,1506.3489002060132,1480.1414104030762,5004.758289412783,3692.4612845303955,1312.2970048823877,1900.0,378.0,50.0
A_normal_n10,9,C3F,10,10,10,7332.758,380,10,1,3,C,56,0,0,,,5004.758289412783,3692.4612845303955,1312.2970048823877,1900.0,378.0,50.0
A_normal_n10,10,B,10,10,10,8135.62,359,10,1,4,B,0,0,0,,,5945.61995569783,4081.871979393182,1863.7479763046474,1795.0,345.0,50.0
A_normal_n10,10,C,10,10,10,8214.468,459,10,1,4,C,0,0,0,,,5431.46841182331,3654.8103335842993,1776.658078239014,2295.0,438.0,50.0
A_normal_n10,10,BF,10,10,10,8099.62,353,10,1,4,B,6,0,0,,,5945.61995569783,4081.871979393182,1863.7479763046474,1765.0,339.0,50.0
A_normal_n10,10,CF,10,10,10,7836.468,396,10,1,4,C,63,0,0,,,5431.46841182331,3654.8103335842993,1776.658078239014,1980.0,375.0,50.0
A_normal_n10,10,D,10,10,10,7836.468,396,10,1,4,C,63,63,0,1506.3489002060162,1462.4092667289187,5431.46841182331,3654.8103335842993,1776.658078239014,1980.0,375.0,50.0
A_normal_n10,10,C3F,10,10,10,7836.468,396,10,1,4,C,63,0,0,,,5431.46841182331,3654.8103335842993,1776.658078239014,1980.0,375.0,50.0
A_normal_n10,11,B,10,10,10,8687.436,368,10,1,4,B,0,0,0,,,6440.435791492206,4081.871979393182,2358.5638120990234,1840.0,357.0,50.0
A_normal_n10,11,C,10,10,10,7902.895,398,10,1,4,C,0,0,0,,,5465.895095545341,3679.410708593149,1786.4843869521906,1990.0,397.0,50.0
A_normal_n10,11,BF,10,10,10,8651.436,362,10,1,4,B,6,0,0,,,6440.435791492206,4081.871979393182,2358.5638120990234,1810.0,351.0,50.0
A_normal_n10,11,CF,10,10,10,7692.895,363,10,1,4,C,35,0,0,,,5465.895095545341,3679.410708593149,1786.4843869521906,1815.0,362.0,50.0
A_normal_n10,11,D,10,10,10,7692.895,363,10,1,4,C,35,35,0,1530.807150342272,1494.6415424371799,5465.895095545341,3679.410708593149,1786.4843869521906,1815.0,362.0,50.0
A_normal_n10,11,C3F,10,10,10,7692.895,363,10,1,4,C,35,0,0,,,5465.895095545341,3679.410708593149,1786.4843869521906,1815.0,362.0,50.0
A_normal_n10,12,B,10,10,10,8223.767,366,10,1,4,B,0,0,0,,,5982.767196029981,4081.871979393182,1900.8952166368001,1830.0,361.0,50.0
A_normal_n10,12,C,10,10,10,7892.571,444,10,1,4,C,0,0,0,,,5181.571267041418,3629.5264323263946,1552.0448347150232,2220.0,441.0,50.0
A_normal_n10,12,BF,10,10,10,8187.767,360,10,1,4,B,6,0,0,,,5982.767196029981,4081.871979393182,1900.8952166368001,1800.0,355.0,50.0
A_normal_n10,12,CF,10,10,10,7556.571,388,10,1,4,C,56,0,0,,,5181.571267041418,3629.5264323263946,1552.0448347150232,1940.0,385.0,50.0
A_normal_n10,12,D,10,10,10,7556.571,388,10,1,4,C,56,56,0,1500.488430458533,1483.0915566083906,5181.571267041418,3629.5264323263946,1552.0448347150232,1940.0,385.0,50.0
A_normal_n10,12,C3F,10,10,10,7556.571,388,10,1,4,C,56,0,0,,,5181.571267041418,3629.5264323263946,1552.0448347150232,1940.0,385.0,50.0
A_normal_n10,13,B,10,10,10,8814.842,398,10,1,3,B,0,0,0,,,6388.842147801171,4130.184416979265,2258.657730821909,1990.0,386.0,50.0
A_normal_n10,13,C,10,10,10,7879.142,427,10,1,3,C,0,0,0,,,5272.142292896174,3700.90955187401,1571.2327410221637,2135.0,422.0,50.0
A_normal_n10,13,BF,10,10,10,8778.842,392,10,1,3,B,6,0,0,,,6388.842147801171,4130.184416979265,2258.657730821909,1960.0,380.0,50.0
A_normal_n10,13,CF,10,10,10,7633.142,386,10,1,3,C,41,0,0,,,5272.142292896174,3700.90955187401,1571.2327410221637,1930.0,381.0,50.0
A_normal_n10,13,D,10,10,10,7633.142,386,10,1,3,C,41,41,0,1527.8798759993924,1476.8845303561072,5272.142292896174,3700.90955187401,1571.2327410221637,1930.0,381.0,50.0
A_normal_n10,13,C3F,10,10,10,7633.142,386,10,1,3,C,41,0,0,,,5272.142292896174,3700.90955187401,1571.2327410221637,1930.0,381.0,50.0
A_normal_n10,14,B,10,10,10,7871.542,401,10,1,4,B,0,0,0,,,5423.542237912549,4108.026009689471,1315.5162282230797,2005.0,393.0,50.0
A_normal_n10,14,C,10,10,10,7124.572,395,10,1,4,C,0,0,0,,,4707.5723074659945,3679.9829198553507,1027.5893876106443,1975.0,392.0,50.0
