case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
45,DG2_k3_t1_R,16,16,16,7748.287,374,16,1,29,5520.143776808706,5435.286735990722,3398.1437768087067,2037.1429591820163,1870.0,363.0,80.0,0,0,C,154,79,C,5,,,0.43345700000645593
45,DG2_k5_t0_R,16,16,16,7748.287,374,16,1,29,5520.143776808706,5435.286735990722,3398.1437768087067,2037.1429591820163,1870.0,363.0,80.0,0,0,C,154,79,C,6,,,0.4337013000040315
45,DG2_k2_t0_F,16,16,16,7748.287,374,16,1,29,5520.143776808706,5435.286735990722,3398.1437768087067,2037.1429591820163,1870.0,363.0,80.0,0,0,C,154,79,C,2,,,0.40292829999816604
45,DG2_k3_t0_F,16,16,16,7748.287,374,16,1,29,5520.143776808706,5435.286735990722,3398.1437768087067,2037.1429591820163,1870.0,363.0,80.0,0,0,C,154,79,C,5,,,0.40288939999300055
46,Cplus3F,16,16,16,10233.926,529,16,1,27,6532.7805816327,6994.926271970076,4005.7805816327004,2989.1456903373764,2645.0,514.0,80.0,0,0,B,0,0,,,,,0.8498022999847308
46,C3FDirect,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,,,,,0.6044710999995004
46,DG2_k1_t0_R,16,16,16,10042.461,470,16,1,27,6827.831553102561,7153.461377501942,4533.831553102561,2619.629824399382,2350.0,459.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,0.7063560000096913
46,DG2_k2_t0_R,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,2,,,0.5898996999894734
46,DG2_k2_t1_R,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,2,,,0.6061888000112958
46,DG2_k3_t0_R,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,3,,,0.5977367000014056
46,DG2_k3_t1_R,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,3,,,0.6039133000012953
46,DG2_k5_t0_R,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,5,,,0.6105901999981143
46,DG2_k2_t0_F,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,2,,,0.6030420000024606
46,DG2_k3_t0_F,16,16,16,8743.381,421,16,1,29,5217.691796647678,6159.380662840153,3205.691796647676,2953.6888661924754,2105.0,399.0,80.0,0,0,C,236,117,C,3,,,0.6093669999972917
47,Cplus3F,16,16,16,9259.797,411,16,1,27,6043.143356356735,6741.797015154502,3971.143356356736,2770.6536587977685,2055.0,383.0,80.0,0,0,B,0,0,,,,,1.1786518000008073
47,C3FDirect,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,,,,,0.9254705999919679
47,DG2_k1_t0_R,16,16,16,10471.219,541,16,1,27,6872.147723755156,7155.21895355661,4282.147723755157,2873.0712298014546,2705.0,531.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,1.06966989999637
47,DG2_k2_t0_R,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,1,,,0.7682610000192653
47,DG2_k2_t1_R,16,16,16,9573.717,531,16,1,27,5730.540144014854,6316.716755755038,3592.5401440148544,2724.176611740184,2655.0,522.0,80.0,0,0,B,0,0,B,1,288.47307916059424,20422.27694531244,0.8293461000139359
47,DG2_k3_t0_R,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,5,,,0.811794999986887
47,DG2_k3_t1_R,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,5,,,0.7747768999834079
47,DG2_k5_t0_R,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,7,,,0.7738333999877796
47,DG2_k2_t0_F,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,1,,,0.7461131000018213
