case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
45,L1000_C2,10,10,10,11615.466,408,10,1,31,9417.568898798136,9123.465922944417,2040.0,402.0,50.0,0,0.15992410000762902
46,L1100_C2,15,15,15,8236.961,267,15,1,19,5183.0,6583.960839862621,1335.0,243.0,75.0,0,0.46910899999784306
46,L1000_C2,15,15,15,12150.183,315,15,1,31,8786.358777891954,10210.182579989447,1575.0,290.0,75.0,0,0.5201463999983389
47,L1100_C2,15,15,15,7978.229,265,15,1,19,5202.093902304611,6327.228553483534,1325.0,251.0,75.0,0,0.6546929999894928
47,L1000_C2,15,15,15,10700.713,260,15,1,31,8648.942874559554,9074.712613396787,1300.0,251.0,75.0,0,0.4321672999940347
48,L1100_C2,11,11,11,8157.352,311,11,1,19,5645.0,6251.351840862634,1555.0,296.0,55.0,0,0.3137224999954924
48,L1000_C2,11,11,11,12181.909,441,11,1,31,9425.778519427438,9501.909056213242,2205.0,420.0,55.0,0,0.3180283999827225
49,L1100_C2,12,12,12,7758.822,291,12,1,19,5561.995508454003,5965.822190322929,1455.0,278.0,60.0,0,0.33711759999278
49,L1000_C2,12,12,12,12127.59,398,12,1,31,9272.883305797865,9705.59011412283,1990.0,372.0,60.0,0,0.5120583999960218
50,L1100_C2,16,16,16,7926.22,370,16,1,19,3259.446180930127,5633.220411344701,1850.0,363.0,80.0,0,0.6840364999952726
50,L1000_C2,16,16,16,7889.251,325,16,1,31,4981.2730645207575,5869.2506336887445,1625.0,315.0,80.0,0,0.5538435000053141
51,L1100_C2,15,15,15,8041.942,240,15,1,19,5231.0,6543.942012478138,1200.0,223.0,75.0,0,0.4940917000058107
51,L1000_C2,15,15,15,11486.453,309,15,1,31,8919.28324009631,9569.452871073012,1545.0,297.0,75.0,0,0.46891710002091713
52,L1100_C2,10,10,10,7455.188,265,10,1,19,5441.0,5825.1876080341935,1325.0,255.0,50.0,0,0.34547529998235404
52,L1000_C2,10,10,10,11293.029,386,10,1,31,9309.174029907133,8935.02911396418,1930.0,378.0,50.0,0,0.2919753000023775
53,L1100_C2,10,10,10,8587.497,327,10,1,19,5621.0,6585.496689636114,1635.0,317.0,50.0,0,0.3397438000247348
53,L1000_C2,10,10,10,11620.156,434,10,1,31,9612.152326804857,8970.156014295857,2170.0,430.0,50.0,0,0.23785880001378246
54,L1100_C2,16,16,16,8183.701,397,16,1,19,3535.0,5735.70088655476,1985.0,383.0,80.0,0,0.7133970999857411
54,L1000_C2,16,16,16,7818.814,290,16,1,31,4271.0,6022.814491491964,1450.0,266.0,80.0,0,0.606946899992181
55,L1100_C2,13,13,13,8336.621,268,13,1,19,5344.12103465097,6688.620634682289,1340.0,243.0,65.0,0,0.5655017999815755
55,L1000_C2,13,13,13,11212.444,310,13,1,31,8850.560423726694,9290.443755629798,1550.0,307.0,65.0,0,0.32684180000796914
56,L1100_C2,14,14,14,8430.459,281,14,1,19,5424.247381756972,6690.458527398379,1405.0,265.0,70.0,0,0.39504860001034103
56,L1000_C2,14,14,14,10977.118,337,14,1,31,9029.37139048916,8894.117591524762,1685.0,328.0,70.0,0,0.36704069998813793
57,L1100_C2,11,11,11,8768.639,358,11,1,19,5729.0,6589.638827751177,1790.0,334.0,55.0,0,0.49549189998651855
57,L1000_C2,11,11,11,12037.277,411,11,1,31,9459.331622888978,9529.277247504902,2055.0,398.0,55.0,0,0.3211846000049263
58,L1100_C2,16,16,16,6346.842,298,16,1,19,2009.0,4490.842277557968,1490.0,286.0,80.0,0,0.8905808000126854
58,L1000_C2,16,16,16,6289.623,294,16,1,31,1883.0,4456.623345087895,1470.0,283.0,80.0,0,0.7100621999998111
59,L1100_C2,16,16,16,7383.157,199,16,1,19,4517.948889239646,6128.157218351174,995.0,180.0,80.0,0,0.7461220999830402
59,L1000_C2,16,16,16,7535.848,226,16,1,31,5198.274307054109,6116.847547379313,1130.0,209.0,80.0,0,0.6586639999877661
60,L1100_C2,14,14,14,8091.902,288,14,1,19,5363.0,6311.901872682139,1440.0,270.0,70.0,0,0.6335810000018682
60,L1000_C2,14,14,14,11379.675,346,14,1,31,9078.009691690977,9242.675115182305,1730.0,337.0,70.0,0,0.42295219999505207
61,L1100_C2,12,12,12,8066.705,260,12,1,19,5350.338837630965,6466.705323892737,1300.0,240.0,60.0,0,0.39945409999927506
