seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
2026,50,B_region_dopt,16,16,16,4874.381,156,16,1,3870.381477,26,95,0,0.436108
2026,50,C_region_q2,16,16,16,4828.835,147,16,1,3869.835178,17,95,0,1.512484
2026,51,A_current_ls_dopt,14,14,14,4304.133,131,14,1,3451.13324,4,99,0,0.013692
2026,51,B_region_dopt,14,14,14,4517.595,142,14,1,3597.594854,12,99,0,0.24546
2026,51,C_region_q2,14,14,14,4735.739,142,14,1,3815.738849,12,99,0,1.1508
2026,52,A_current_ls_dopt,12,12,12,4013.599,124,12,1,3210.598788,0,93,0,0.009294
2026,52,B_region_dopt,12,12,12,4133.278,133,12,1,3276.277871,8,93,0,0.209069
2026,52,C_region_q2,12,12,12,4357.301,133,12,1,3500.300968,8,93,0,0.994574
2026,53,A_current_ls_dopt,12,12,12,4458.529,132,13,1,3604.529311,4,103,1,0.012566
2026,53,B_region_dopt,12,12,12,4520.835,142,12,1,3613.835094,13,103,0,0.246929
2026,53,C_region_q2,12,12,12,4653.992,141,12,1,3751.991983,12,103,0,1.125569
2026,54,A_current_ls_dopt,10,10,10,4605.412,134,17,1,3732.41238,3,108,7,0.004636
2026,54,B_region_dopt,10,10,10,4599.03,142,10,1,3700.030042,11,108,0,0.193889
2026,54,C_region_q2,10,10,10,4810.798,142,10,1,3911.798197,11,108,0,0.951234
2026,55,A_current_ls_dopt,16,16,16,4110.134,129,16,1,3258.134435,3,89,0,0.015442
2026,55,B_region_dopt,16,16,16,4362.759,142,16,1,3434.759492,14,89,0,0.342766
2026,55,C_region_q2,16,16,16,4549.054,139,16,1,3636.054142,11,89,0,1.159132
2026,56,A_current_ls_dopt,16,16,16,4762.151,123,23,1,3926.151289,8,84,7,0.012112
2026,56,B_region_dopt,16,16,16,5508.435,144,16,1,4574.434845,23,84,0,0.392924
2026,56,C_region_q2,16,16,16,5742.637,140,16,1,4828.636591,19,84,0,1.403454
2026,57,A_current_ls_dopt,13,13,13,3655.569,126,13,1,2836.569022,4,93,0,0.012452
2026,57,B_region_dopt,13,13,13,4012.464,134,13,1,3145.463612,10,93,0,0.207514
2026,57,C_region_q2,13,13,13,4230.776,134,13,1,3363.776366,10,93,0,0.847484
2026,58,A_current_ls_dopt,15,15,15,3547.423,121,23,1,2723.422827,0,87,8,0.003183
2026,58,B_region_dopt,15,15,15,4107.903,138,15,1,3205.902839,11,87,0,0.304102
2026,58,C_region_q2,15,15,15,4229.447,138,15,1,3327.446615,11,87,0,1.397956
2026,59,A_current_ls_dopt,14,14,14,4010.256,130,18,1,3152.256287,6,94,4,0.017876
2026,59,B_region_dopt,14,14,14,4347.762,143,14,1,3424.761675,17,94,0,0.367755
2026,59,C_region_q2,14,14,14,4737.41,141,14,1,3824.40975,15,94,0,1.589649
2026,60,A_current_ls_dopt,11,11,11,4181.671,125,17,1,3360.671256,3,98,6,0.004465
2026,60,B_region_dopt,11,11,11,4522.729,136,11,1,3655.729181,12,98,0,0.229106
2026,60,C_region_q2,11,11,11,4598.063,134,11,1,3741.063035,10,98,0,0.976576
2026,61,A_current_ls_dopt,11,11,11,3825.739,128,11,1,3003.738926,1,101,0,0.007444
2026,61,B_region_dopt,11,11,11,3944.394,136,11,1,3075.393992,8,101,0,0.18208
2026,61,C_region_q2,11,11,11,4127.78,136,11,1,3258.780046,8,101,0,0.873752
2026,62,A_current_ls_dopt,12,12,12,3325.679,119,13,1,2549.67948,1,90,1,0.004366
2026,62,B_region_dopt,12,12,12,3888.098,132,12,1,3037.098209,10,90,0,0.222874
2026,62,C_region_q2,12,12,12,4089.1,132,12,1,3238.09991,10,90,0,0.943391
2026,63,A_current_ls_dopt,10,10,10,3932.415,126,10,1,3127.415463,1,104,0,0.003075
2026,63,B_region_dopt,10,10,10,4203.744,139,10,1,3321.743519,11,104,0,0.223348
2026,63,C_region_q2,10,10,10,4300.011,139,10,1,3418.010909,11,104,0,1.10554
2026,64,A_current_ls_dopt,14,14,14,3993.123,122,19,1,3177.122713,1,86,5,0.007097
2026,64,B_region_dopt,14,14,14,4209.576,137,14,1,3319.575892,14,86,0,0.323662
2026,64,C_region_q2,14,14,14,4488.038,136,14,1,3603.038438,13,86,0,1.389432
2026,65,A_current_ls_dopt,11,11,11,3939.434,130,13,1,3099.434018,0,105,2,0.004971
2026,65,B_region_dopt,11,11,11,4147.746,140,11,1,3253.745884,9,105,0,0.202986
2026,65,C_region_q2,11,11,11,4313.7,140,11,1,3419.700077,9,105,0,1.012743
2026,66,A_current_ls_dopt,14,14,14,4354.138,131,23,1,3472.138326,2,100,9,0.010712
2026,66,B_region_dopt,14,14,14,4503.382,150,14,1,3540.382346,19,100,0,0.402812
2026,66,C_region_q2,14,14,14,4866.717,145,14,1,3928.716649,14,100,0,1.380042
2026,67,A_current_ls_dopt,11,11,11,4128.998,134,11,1,3271.997977,3,107,0,0.008532
2026,67,B_region_dopt,11,11,11,4177.642,143,11,1,3266.641664,10,107,0,0.206556
2026,67,C_region_q2,11,11,11,4337.33,143,11,1,3426.329921,10,107,0,0.966207
2026,68,A_current_ls_dopt,11,11,11,4163.442,132,11,1,3317.44175,1,108,0,0.003563
2026,68,B_region_dopt,11,11,11,4337.394,142,11,1,3432.394456,8,108,0,0.176954
2026,68,C_region_q2,11,11,11,4516.715,142,11,1,3611.714835,8,108,0,0.878174
2026,69,A_current_ls_dopt,13,13,13,3851.292,121,18,1,3046.292426,2,92,5,0.005219
2026,69,B_region_dopt,13,13,13,4301.835,135,13,1,3427.834553,12,92,0,0.265456
2026,69,C_region_q2,13,13,13,4632.988,136,13,1,3753.987887,13,92,0,1.294286
2026,70,A_current_ls_dopt,10,10,10,4372.202,133,20,1,3497.201759,5,109,10,0.006532
2026,70,B_region_dopt,10,10,10,4386.763,139,10,1,3505.762529,9,109,0,0.128357
2026,70,C_region_q2,10,10,10,4283.889,137,10,1,3412.888779,7,109,0,0.583928
2026,71,A_current_ls_dopt,14,14,14,4851.56,132,24,1,3964.560123,8,97,10,0.010554
2026,71,B_region_dopt,14,14,14,4979.168,141,14,1,4069.167914,13,97,0,0.1996
2026,71,C_region_q2,14,14,14,4974.701,139,14,1,4074.701301,11,97,0,0.83986
2026,72,A_current_ls_dopt,10,10,10,3714.583,128,16,1,2879.582648,1,107,6,0.002652
2026,72,B_region_dopt,10,10,10,4146.857,143,10,1,3243.856931,12,107,0,0.253045
2026,72,C_region_q2,10,10,10,4347.819,141,10,1,3454.819107,10,107,0,1.100147
2026,73,A_current_ls_dopt,16,16,16,6111.128,126,43,1,5203.128145,17,82,27,0.033668
2026,73,B_region_dopt,16,16,16,5810.706,141,16,1,4901.705743,31,82,0,0.44906
2026,73,C_region_q2,16,16,16,5330.575,130,16,1,4476.574501,20,82,0,1.636014
2026,74,A_current_ls_dopt,16,16,16,4788.406,124,25,1,3942.406056,10,81,9,0.027381
2026,74,B_region_dopt,16,16,16,4908.199,136,16,1,4019.198547,20,81,0,0.365214
2026,74,C_region_q2,16,16,16,5220.266,134,16,1,4341.266337,18,81,0,1.413709
2026,75,A_current_ls_dopt,11,11,11,3949.4,125,15,1,3134.399509,5,98,4,0.011203
2026,75,B_region_dopt,11,11,11,4332.068,136,11,1,3467.068495,14,98,0,0.225233
2026,75,C_region_q2,11,11,11,4524.539,132,11,1,3679.538795,10,98,0,0.764113
2026,76,A_current_ls_dopt,11,11,11,4358.0,137,12,1,3478.999634,2,111,1,0.008756
2026,76,B_region_dopt,11,11,11,4491.418,149,11,1,3548.41777,14,111,0,0.270787
2026,76,C_region_q2,11,11,11,4579.772,146,11,1,3651.772362,11,111,0,1.124254
2026,77,A_current_ls_dopt,13,13,13,4128.66,125,13,1,3314.659653,3,94,0,0.012862
2026,77,B_region_dopt,13,13,13,4253.266,137,13,1,3369.266274,14,94,0,0.304175
2026,77,C_region_q2,13,13,13,4481.401,137,13,1,3597.400864,14,94,0,1.484543
2026,78,A_current_ls_dopt,10,10,10,3561.435,129,10,1,2738.435414,1,105,0,0.003864
2026,78,B_region_dopt,10,10,10,3762.25,137,10,1,2892.250361,7,105,0,0.15107
2026,78,C_region_q2,10,10,10,3966.177,137,10,1,3096.177187,7,105,0,0.779962
2026,79,A_current_ls_dopt,14,14,14,3936.415,126,19,1,3098.415394,5,90,5,0.017669
2026,79,B_region_dopt,14,14,14,4384.603,141,14,1,3473.603203,18,90,0,0.365575
2026,79,C_region_q2,14,14,14,4418.547,137,14,1,3527.547295,14,90,0,1.36898
2026,80,A_current_ls_dopt,11,11,11,4033.958,134,12,1,3172.958397,2,110,1,0.0052
2026,80,B_region_dopt,11,11,11,4225.98,144,11,1,3308.98005,10,110,0,0.187607
2026,80,C_region_q2,11,11,11,4399.478,144,11,1,3482.478203,10,110,0,0.908664
2026,81,A_current_ls_dopt,11,11,11,4267.578,140,13,1,3367.578388,4,114,2,0.00841
2026,81,B_region_dopt,11,11,11,4635.245,157,11,1,3648.244566,19,114,0,0.378128
2026,81,C_region_q2,11,11,11,4788.921,151,11,1,3831.920505,13,114,0,1.087323
2026,82,A_current_ls_dopt,16,16,16,4385.974,128,18,1,3534.973803,7,89,2,0.017514
2026,82,B_region_dopt,16,16,16,4716.084,142,16,1,3789.083684,18,89,0,0.314481
2026,82,C_region_q2,16,16,16,4822.801,139,16,1,3910.801127,15,89,0,1.371692
2026,83,A_current_ls_dopt,12,12,12,3377.034,127,14,1,2551.034291,5,96,2,0.011995
2026,83,B_region_dopt,12,12,12,4212.776,142,12,1,3309.775622,17,96,0,0.374566
2026,83,C_region_q2,12,12,12,4350.005,135,12,1,3482.004562,10,96,0,0.810541
2026,84,A_current_ls_dopt,12,12,12,3845.814,121,20,1,3036.813514,2,90,8,0.007744
2026,84,B_region_dopt,12,12,12,4001.287,132,12,1,3152.286825,10,90,0,0.220674
2026,84,C_region_q2,12,12,12,4143.001,130,12,1,3304.001415,8,90,0,0.663419
2026,85,A_current_ls_dopt,11,11,11,4037.82,127,15,1,3210.819957,4,102,4,0.009497
2026,85,B_region_dopt,11,11,11,4214.472,137,11,1,3339.472332,11,102,0,0.206428
2026,85,C_region_q2,11,11,11,4320.572,137,11,1,3445.571927,11,102,0,1.00218
2026,86,A_current_ls_dopt,12,12,12,3658.613,127,16,1,2825.613358,1,99,4,0.005182
2026,86,B_region_dopt,12,12,12,4224.66,141,12,1,3322.660317,13,99,0,0.299941
2026,86,C_region_q2,12,12,12,4297.725,139,12,1,3405.725265,11,99,0,1.21674
2026,87,A_current_ls_dopt,12,12,12,4090.323,124,20,1,3263.322727,2,97,8,0.00582
2026,87,B_region_dopt,12,12,12,4401.088,136,12,1,3527.087708,11,97,0,0.229579
2026,87,C_region_q2,12,12,12,4586.584,135,12,1,3717.584047,10,97,0,0.96509
2026,88,A_current_ls_dopt,11,11,11,3974.224,133,14,1,3113.224142,4,107,3,0.010334
2026,88,B_region_dopt,11,11,11,4453.983,144,11,1,3538.982888,13,107,0,0.227873
2026,88,C_region_q2,11,11,11,4436.93,142,11,1,3531.929565,11,107,0,1.094423
2026,89,A_current_ls_dopt,11,11,11,4383.26,135,11,1,3519.259944,4,110,0,0.010168
2026,89,B_region_dopt,11,11,11,4502.096,143,11,1,3593.096286,10,110,0,0.144124
2026,89,C_region_q2,11,11,11,4466.771,142,11,1,3562.770996,9,110,0,0.686956
2026,90,A_current_ls_dopt,10,10,10,3957.426,134,12,1,3098.42645,0,112,2,0.001562
2026,90,B_region_dopt,10,10,10,4034.882,145,10,1,3115.881928,7,115,0,0.151417
2026,90,C_region_q2,10,10,10,4149.361,145,10,1,3230.36098,7,115,0,0.754763
2026,91,A_current_ls_dopt,14,14,14,4328.489,143,18,1,3391.488768,8,109,4,0.016202
2026,91,B_region_dopt,14,14,14,4678.207,151,14,1,3706.206778,14,109,0,0.221683
2026,91,C_region_q2,14,14,14,4878.312,149,14,1,3916.312492,12,109,0,0.760823
2026,92,A_current_ls_dopt,10,10,10,3915.362,126,15,1,3096.361926,4,99,5,0.011612
2026,92,B_region_dopt,10,10,10,4059.976,133,10,1,3213.976326,9,99,0,0.192206
2026,92,C_region_q2,10,10,10,4247.741,132,10,1,3406.741291,8,99,0,0.814835
2026,93,A_current_ls_dopt,10,10,10,4094.768,132,15,1,3239.767751,4,108,5,0.004101
2026,93,B_region_dopt,10,10,10,4026.809,143,10,1,3121.808659,11,108,0,0.192772
2026,93,C_region_q2,10,10,10,4243.453,143,10,1,3338.453015,11,108,0,0.929788
2026,94,A_current_ls_dopt,15,15,15,3826.349,119,22,1,3018.349296,3,82,7,0.007565
2026,94,B_region_dopt,15,15,15,4392.799,139,15,1,3490.79903,19,82,0,0.442761
2026,94,C_region_q2,15,15,15,4509.687,134,15,1,3632.686591,14,82,0,1.585863
2026,95,A_current_ls_dopt,11,11,11,3889.473,124,16,1,3077.473359,2,94,5,0.008075
2026,95,B_region_dopt,11,11,11,3898.868,131,11,1,3060.8684,8,94,0,0.178165
2026,95,C_region_q2,11,11,11,3960.742,131,11,1,3122.741867,8,94,0,0.856163
2026,96,A_current_ls_dopt,11,11,11,3773.954,124,16,1,2961.9536,2,93,5,0.002032
2026,96,B_region_dopt,11,11,11,3784.639,130,11,1,2951.63923,6,93,0,0.118637
